Gene_name	Species_name	Max_cov
ADRA1B	Zootoca_vivipara	56
ARL11	Ophiophagus_hannah	17
ARL11	Crotalus_pyrrhus	17
ARL11	Crotalus_horridus	17
ARL11	Paroedura_picta	41
ARL11	Crotalus_viridis_viridis	17
ARL11	Protobothrops_flavoviridis	17
ARL11	Thermophis_baileyi	17
ARL11	Salvator_merianae	27
ARL11	Emydocephalus_ijimae	17
ARL11	Hydrophis_melanocephalus	17
ARL11	Laticauda_laticaudata	17
ARL11	Naja_naja	16
ARL11	Ptyas_mucosa	17
ARL11	Pantherophis_obsoletus	17
ARL11	Aspidoscelis_marmoratus	17
ARL11	Laticauda_colubrina	17
ARL11	Sceloporus_tristichus	17
ARL11	Myanophis_thanlyinensis	17
ARL11	Bothrops_jararaca	9
ARL11	Chrysopelea_ornata	17
ARL11	Hydrophis_cyanocinctus	17
ARL11	Phrynosoma_platyrhinos	17
ARL11	Calotes_versicolor	17
ARL11	Shinisaurus_crocodilurus	17
ARL11	Anilios_bituberculatus	17
ARL11	Tretioscincus_oriximinensis	17
ARL11	Calyptommatus_sinebrachiatus	17
ARL11	Arizona_elegans	17
ARL11	Diadophis_punctatus_similis	17
ARL11	Aspidoscelis_tigris_stejnegeri	17
ARL11	Sceloporus_occidentalis	46
ARL11	Charina_bottae	17
ARL11	Varanus_salvator_macromaculatus	17
ARL11	Bungarus_multicinctus	17
ARL11	Phrynocephalus_versicolor	17
ARL11	Vipera_latastei	17
ARL11	Daboia_siamensis	17
ARL11	Crotalus_helleri	17
ARL11	Psammodynastes_pulverulentus	17
ARL11	Phrynosoma_blainvillii	17
ARL11	Plestiodon_gilberti_rubricaudatus	17
ARL11	Simalia_boeleni	17
ARL11	Tropidonophis_doriae	17
ARL11	Morelia_viridis	26
ARL11	Imantodes_cenchoa	17
ARL11	Boaedon_fuliginosus	17
ARL11	Lerista_edwardsae	17
ARL11	Anniella_stebbinsi	17
ARL11	Lepidodactylus_listeri	23
ARL11	Phrynocephalus_forsythii	17
ARL11	Gekko_gecko	17
ARL11	Natrix_natrix_natrix	17
ARL11	Pantherophis_alleghaniensis	17
ARL11	Cyclura_pinguis	17
ARL11	Furcifer_pardalis	18
ARL11	Anolis_apletophallus	26
ARL11	Masticophis_lateralis	17
ARL11	Gambelia_wislizenii	17
ARL11	Liasis_olivaceus	17
ARL11	Simalia_tracyae	17
ARL11	Pseudoxenodon_macrops	17
ARL11	Trimeresurus_albolabris	17
ARL11	Mimophis_mahfalensis	17
ARL11	Aparallactus_werneri	17
ARL11	Acrochordus_granulatus	17
ARL11	Pareas_carinatus	17
ARL11	Grayia_smithii	17
ARL11	Calamaria_suluensis	17
ARL11	Oxyrhabdium_leporinum	17
ARL11	Toxicocalamus_goodenoughensis	17
ARL11	Cerberus_rynchops	17
ARL11	Stegonotus_admiraltiensis	17
ARL11	Pseudoxyrhopus_heterurus	17
ARL11	Hydrophis_major	17
ARL11	Hydrophis_elegans	17
ARL11	Urosaurus_nigricauda	17
ARL11	Bradypodion_ventrale	17
ARL11	Sibynophis_collaris	17
ARL11	Intellagama_lesueurii	18
ARL11	Hydrophis_curtus	17
ARL11	Hydrophis_ornatus	17
ARL11	Pantherophis_vulpinus	17
ARL11	Phrynocephalus_guinanensis	17
ARL11	Coluber_constrictor_foxii	17
ARL11	Rhabdophis_nuchalis	17
ARL11	Crotalus_adamanteus	17
ARL11	Correlophus_ciliatus	17
ARL11	Aipysurus_laevis	7
ARL11	Laudakia_wui	17
ARL11	Leptophis_mexicanus	17
ARL11	Xenodon_rabdocephalus	17
ARL11	Laemanctus_serratus	17
