Gene_name	Species_name	GC_Stretch
ADAP2	Bubalus_kerabau	4.06578947368421
ADAP2	Rhinopithecus_roxellana	4.04
ADAP2	Muntiacus_reevesi	4.04054054054054
ADAP2	Papio_anubis	4.0126582278481
ADAP2	Catharus_ustulatus	3.75510204081633
ADAP2	Onychostruthus_taczanowskii	3.69811320754717
ADAP2	Budorcas_taxicolor	4.08641975308642
ADAP2	Passer_domesticus	4.50769230769231
ADAP2	Accipiter_gentilis	3.8
ADAP2	Myotis_davidii	4.18367346938776
ADAP2	Ornithorhynchus_anatinus	4.37878787878788
ADAP2	Molossus_molossus	4.13253012048193
ADAP2	Chroicocephalus_ridibundus	3.84745762711864
ADAP2	Anas_acuta	4.19607843137255
ADAP2	Motacilla_alba_alba	3.65384615384615
ADAP2	Capra_hircus	3.97530864197531
ADAP2	Charadrius_vociferus	3.86842105263158
ADAP2	Rousettus_aegyptiacus	4.14864864864865
ADAP2	Neomonachus_schauinslandi	4.07594936708861
ADAP2	Peromyscus_eremicus	3.97297297297297
ADAP2	Pan_troglodytes	4.03896103896104
ADAP2	Jaculus_jaculus	4.06578947368421
ADAP2	Otolemur_garnettii	4.14666666666667
ADAP2	Pongo_pygmaeus	4.05263157894737
ADAP2	Pygoscelis_adeliae	3.53191489361702
ADAP2	Homo_sapiens	4.06756756756757
ADAP2	Equus_caballus	4.16455696202532
ADAP2	Odobenus_rosmarus_divergens	4.16455696202532
ADAP2	Alligator_sinensis	3.64444444444444
ADAP2	Dasypus_novemcinctus	4.11458333333333
ADAP2	Nyctibius_grandis	3.76363636363636
ADAP2	Chelonia_mydas	3.875
ADAP2	Amblyraja_radiata	3.88
ADAP2	Callithrix_jacchus	4.02777777777778
ADAP2	Corvus_kubaryi	3.72549019607843
ADAP2	Aythya_fuligula	4.2156862745098
ADAP2	Kogia_breviceps	3.95555555555556
ADAP2	Antechinus_flavipes	4.05263157894737
ADAP2	Ursus_maritimus	4.08695652173913
ADAP2	Melospiza_melodia_melodia	3.7
ADAP2	Cuculus_canorus	3.86274509803922
ADAP2	Melopsittacus_undulatus	3.63157894736842
ADAP2	Mus_pahari	3.93421052631579
ADAP2	Delphinapterus_leucas	4.0253164556962
ADAP2	Dipodomys_ordii	4.16901408450704
ADAP2	Pseudopipra_pipra	3.82258064516129
