Gene,Pantherophis_guttatus,Pituophis_catenifer_annectens,Thamnophis_elegans,Thamnophis_sirtalis,Ahaetulla_prasina,Crotalus_tigris,Protobothrops_mucrosquamatus,Notechis_scutatus,Pseudonaja_textilis,Erythrolamprus_reginae,Python_bivittatus,Candoia_aspera,Anolis_sagrei,Anolis_carolinensis,Sceloporus_undulatus,Pogona_vitticeps,Varanus_komodoensis,Elgaria_multicarinata_webbii,Podarcis_muralis,Podarcis_raffonei,Zootoca_vivipara,Lacerta_agilis,Rhineura_floridana,Tiliqua_scincoides,Hemicordylus_capensis,Sphaerodactylus_townsendi,Euleptes_europaea,Heteronotia_binoei,Gekko_japonicus,Eublepharis_macularius,Alligator_mississippiensis,Gallus_gallus,Chelonia_mydas,Homo_sapiens,Xenopus_tropicalis
CX3CL1-6376,Missing,Intact,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Missing,Missing,Intact,Missing,Intact,Intact,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Missing
CX3CR1-1524,Intact,Intact,Missing,Missing,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Intact,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Missing
CXCL16-58191,Intact,Missing,Intact,Intact,Missing,Intact,Missing,Missing,Missing,Intact,Missing,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Intact,Missing
CXCL17-284340,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CXCR4-7852,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CYP19A1-1588,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
DCSTAMP-81501,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact
DDT-100037417,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
DDT-1652,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Missing,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Intact,Missing,Missing,Missing,Intact,Missing,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing
DHX16-8449,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact
DIAPH3-81624,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
DMBT1-1755,Missing,Intact,Missing,Missing,Intact,Missing,Intact,Missing,Missing,Missing,Missing,LQP,Missing,Intact,LQP,Missing,Missing,Missing,Intact,Missing,Missing,LQP,Missing,Missing,LQP,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Intact,Intact,Intact
DOK1-1796,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact
DYSF-8291,LQP,LQP,Intact,Missing,Intact,Intact,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,LQP,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
EDN2-1907,Intact,Intact,Intact,Missing,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing
EDNRB-1910,Intact,Missing,Missing,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
EIF2AK1-27102,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
EMILIN1-11117,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact
ENDOU-8909,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Missing,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
ENPP1-5167,Missing,Missing,LQP,Missing,Intact,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Missing
ENPP2-5168,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact
EPX-8288,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Intact,Missing
ETV3-2117,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Missing,Missing,Intact,Missing,Intact,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact
FADD-8772,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact
FCAR-2204,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
FCER2-2208,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Missing
FCGR2B-2213,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
FCGR3A-2214,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
FCN1-2219,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
FER-2241,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
FGL2-10875,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
FOSL2-2355,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
FOXP1-27086,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
FPR2-2358,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
GAB3-139716,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
GATA2-2624,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
GATA3-2625,Intact,Intact,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
GBA1-2629,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Intact,Missing,Intact,Intact,Intact
GHSR-2693,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
GJA8-2703,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
GPR137B-7107,Intact,LQP,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
GPRC5B-51704,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
GRN-2896,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact
HAMP-57817,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Missing,Missing,Intact,Intact
HAVCR2-84868,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing
HCLS1-3059,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Missing
HLA-DRB1-3123,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
HLA-G-3135,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
HSF1-3297,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact
HSPD1-3329,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact
ID2-3398,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
IFI35-3430,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
IFIH1-64135,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
IFNG-3458,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Missing
IFNGR1-3459,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing
IFNGR2-3460,Intact,Missing,Missing,Missing,Intact,Missing,Intact,Missing,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing
IL10-3586,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
IL12B-3593,Missing,Intact,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Missing,Intact,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact
IL13-3596,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Intact,Missing
IL15-3600,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact
IL17D-53342,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact
IL17F-112744,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
IL18-3606,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact
IL1B-3553,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Missing
IL1RL1-9173,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Missing,Missing,Missing,Missing,Intact,Missing,Intact,Missing,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Missing
IL23A-51561,Intact,Missing,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Missing,Intact,Missing,Missing,Missing,Intact,Intact,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Missing
IL23R-149233,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Missing
IL31RA-133396,Intact,Intact,LQP-Intact,Missing,Missing,Intact,Intact,Intact,Intact,LQP,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Missing
IL33-90865,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
IL34-146433,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact
IL4-3565,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Intact,Missing
IL4R-3566,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Missing
IL6-3569,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,LQP,Intact,Intact,LQP,Missing,LQP,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
INHA-3623,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
INHBA-3624,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
IRAK3-11213,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Intact,Missing
IRF3-3661,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Missing,Intact,Intact,Intact
IRF7-3665,Intact,Intact,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact
IRGM-345611,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
ISL1-3670,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
ITGAM-3684,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Missing
ITGAV-3685,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
ITGB2-3689,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
ITGB3-3690,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact
JAK2-3717,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
JMJD6-23210,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
KARS1-3735,Intact,Intact,LQP-Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
KCNJ8-3764,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
L3MBTL3-84456,Intact,Intact,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
LAPTM5-7805,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact
LARGE1-9215,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
