test	back	pval	kval
Poecilia_formosa	`Oryzias_melastigma,Poecilia_reticulata,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.1691	0.34
Poecilia_reticulata	`Oryzias_melastigma,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.3026	0.67
Pogona_vitticeps	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0047	0.59
Rana_temporaria	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.6038	0.86
Rhineura_floridana	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0426	1.46
Rhinolophus_ferrumequinum	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.1249	0.65
Rissa_tridactyla	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.6604	0.92
Sphenodon_punctatus	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0094	0.57
Taeniopygia_guttata	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0052	0.54
Thamnophis_elegans	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0003	0.63
