Gene_name	Group	Species_name	GC_content	GC_Stretch
il34	Actinopterygii	Alosa_alosa	48.40	 3.66666666666667
il34	Actinopterygii	Brienomyrus_brachyistius	46.49	 3.71428571428571
il34	Actinopterygii	Epinephelus_fuscoguttatus	50.13	 3.62162162162162
il34	Actinopterygii	Syngnathus_scovelli	47.86	 3.44827586206897
il34	Actinopterygii	Epinephelus_moara	51.60	 3.65714285714286
il34	Actinopterygii	Labeo_rohita	43.13	 3.45454545454545
il34	Actinopterygii	Dicentrarchus_labrax	52.36	 3.65789473684211
il34	Actinopterygii	Ctenopharyngodon_idella	42.81	 3.57894736842105
il34	Actinopterygii	Hippocampus_zosterae	47.95	 3.42857142857143
il34	Actinopterygii	Scomber_japonicus	49.47	 3.42424242424242
il34	Actinopterygii	Pleuronectes_platessa	53.09	 3.7
il34	Actinopterygii	Clarias_gariepinus	44.72	 3.30769230769231
il34	Actinopterygii	Ictalurus_furcatus	43.55	 3.30769230769231
il34	Actinopterygii	Synchiropus_splendidus	52.66	 3.76190476190476
il34	Actinopterygii	Anoplopoma_fimbria	52.29	 3.5625
il34	Actinopterygii	Dunckerocampus_dactyliophorus	48.54	 3.71428571428571
il34	Actinopterygii	Poeciliopsis_prolifica	53.98	 3.78260869565217
il34	Actinopterygii	Misgurnus_anguillicaudatus	42.93	 3.625
il34	Actinopterygii	Salvelinus_fontinalis	49.59	 3.41379310344828
il34	Actinopterygii	Rhinichthys_klamathensis	44.08	 3.70833333333333
il34	Actinopterygii	Lampris_incognitus	50.38	 3.47222222222222
il34	Actinopterygii	Pseudoliparis_swirei	54.79	 3.95121951219512
il34	Actinopterygii	Gadus_chalcogrammus	55.86	 4.31707317073171
il34	Actinopterygii	Triplophysa_dalaica	42.04	 3.26315789473684
il34	Actinopterygii	Takifugu_flavidus	59.62	 4.21951219512195
il34	Actinopterygii	Triplophysa_rosa	43.35	 3.61904761904762
il34	Actinopterygii	Corythoichthys_intestinalis	48.81	 3.63157894736842
il34	Actinopterygii	Doryrhamphus_excisus	53.12	 4.08571428571429
il34	Actinopterygii	Hemibagrus_wyckioides	43.69	 3.35
il34	Actinopterygii	Solea_solea	52.38	 3.42857142857143
il34	Actinopterygii	Onychostoma_macrolepis	43.80	 3.53571428571429
il34	Actinopterygii	Centropristis_striata	51.32	 3.81578947368421
il34	Actinopterygii	Gadus_macrocephalus	57.21	 4.31111111111111
il34	Actinopterygii	Tachysurus_vachellii	43.09	 3.38095238095238
il34	Actinopterygii	Neoarius_graeffei	45.20	 3.58333333333333
il34	Actinopterygii	Labrus_mixtus	52.97	 3.66666666666667
il34	Actinopterygii	Limanda_limanda	53.09	 3.61538461538462
il34	Actinopterygii	Conger_conger	55.77	 4.05405405405405
il34	Actinopterygii	Syngnathus_typhle	47.86	 3.39285714285714
il34	Actinopterygii	Phycodurus_eques	51.45	 3.49090909090909
il34	Actinopterygii	Cololabis_saira	50.45	 3.60606060606061
il34	Actinopterygii	Phyllopteryx_taeniolatus	50.00	 3.45161290322581
il34	Actinopterygii	Syngnathoides_biaculeatus	50.92	 3.7741935483871
il34	Actinopterygii	Nerophis_ophidion	50.00	 3.80645161290323
il34	Actinopterygii	Nerophis_lumbriciformis	50.24	 4.03448275862069
il34	Actinopterygii	Entelurus_aequoreus	49.69	 3.9
il34	Actinopterygii	Platichthys_flesus	52.47	 3.64102564102564
il34	Actinopterygii	Scomber_scombrus	50.53	 3.59459459459459
il34	Actinopterygii	Osmerus_eperlanus	51.36	 3.52777777777778
il34	Actinopterygii	Sardina_pilchardus	49.78	 3.54838709677419
il34	Actinopterygii	Trichomycterus_rosablanca	41.10	 3.75
il34	Actinopterygii	Engraulis_encrasicolus	58.53	 3.95454545454545
il34	Actinopterygii	Pelmatolapia_mariae	47.69	 3.46428571428571
il34	Actinopterygii	Eleginops_maclovinus	51.25	 3.74193548387097
