Group	Class	Order	species	gene_status	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Chondrichthyes		Pristiophorus_japonicus	Pristiophorus_japonicus	1	25585	113738	644219	964409	1889229	1192	531673	851863	2342533	469703	789893	2430686	119008	2961167	3281357
Chondrichthyes	Rhinopristiformes	Pristis_pectinata	Pristis_pectinata	1	4030	58008	309167	513985	944973	10954	262113	466931	1194636	209771	414589	1248614	46656	1499773	1704591
Chondrichthyes	Carcharhiniformes	Scyliorhinus_canicula	Scyliorhinus_canicula	1	10336	136250	695935	1020576	2171494	41948	601633	926274	2575565	486299	810940	2701479	118146	3261164	3585805
Actinopterygii	Polypteriformes	Erpetoichthys_calabaricus	Erpetoichthys_calabaricus	1	0	28156	35505295	35801412	14777233	5987	35483126	35779243	14755064	35448593	35744710	14720531	30559	20362586	20658703
Squamata	Squamata	Anolis_sagrei	Anolis_sagrei	0	88	27994	82626	156434	262173	139	54771	128579	234318	5454	79262	185001	4788	110527	8024
Squamata	Squamata	Candoia_aspera	Candoia_aspera	0	11955	32235	86020	152971	211348	0	53403	120354	178731	4961	71912	130289	994	59371	354
Squamata	Squamata	Erythrolamprus_reginae	Erythrolamprus_reginae	0	2410	20790	67985	114428	148291	0	47157	93600	127463	1327	47770	81633	387	34250	97
Squamata	Squamata	Hemicordylus_capensis	Hemicordylus_capensis	0	1700	20303	57738	115179	179603	87	37522	94963	159387	664	58105	122529	2564	66988	1276
Squamata	Squamata	Heteronotia_binoei	Heteronotia_binoei	0	9529	31346	91888	180704	353612	96	60638	149454	322362	5208	94024	266932	4620	177528	4978
Squamata	Squamata	Lacerta_agilis	Lacerta_agilis	0	7	18012	56250	116532	192629	0	38204	98486	174583	5563	65845	141942	1789	77886	1785
Squamata	Squamata	Podarcis_raffonei	Podarcis_raffonei	0	0	19092	55787	112319	184052	0	36623	93155	164888	3314	59846	131579	1704	73437	1291
Squamata	Squamata	Rhineura_floridana	Rhineura_floridana	0	75	41291	112043	195231	357515	0	70513	153701	315985	5356	88544	250828	3599	165883	1752
Squamata	Squamata	Sphaerodactylus_townsendi	Sphaerodactylus_townsendi	0	331	16473	52575	134178	241623	0	35963	117566	225011	622	82225	189670	3936	111381	2442
Squamata	Squamata	Thamnophis_elegans	Thamnophis_elegans	0	1279	17446	57837	120894	164590	13	40404	103461	147157	0	62966	106662	540	44236	86
Mammalia	Carnivora	Acinonyx_jubatus	Acinonyx_jubatus	1	296	27985	160781	186101	293837	219	133015	158335	266071	75986	101306	209042	1540	109276	5911
Mammalia	Rodentia	Apodemus_sylvaticus	Apodemus_sylvaticus	1	238	35104	143606	164829	273898	215	108717	129940	239009	71967	93190	202259	897	109966	9544
Mammalia		Arvicanthis_niloticus	Arvicanthis_niloticus	1	228	33199	138868	159940	272182	230	105899	126971	239213	67405	88477	200719	897	113139	9430
Mammalia	Pilosa	Choloepus_didactylus	Choloepus_didactylus	1	282	32079	172048	195599	321692	234	140203	163754	289847	73871	97422	223515	1232	127325	5188
Mammalia	Rodentia	Cricetulus_griseus	Cricetulus_griseus	1	261	36569	144140	165216	282191	211	107782	128858	245833	69967	91043	208018	1059	118034	9318
Mammalia	Dermoptera	Cynocephalus_volans	Cynocephalus_volans	1	267	25957	135422	158264	273163	281	109746	132588	247487	68739	91581	206480	1430	116329	5412
Mammalia	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	1	296	23808	132405	151056	230857	255	108852	127503	207304	67314	85965	165766	1266	81067	0
Mammalia	Chiroptera	Eptesicus_fuscus	Eptesicus_fuscus	1	286	31302	155259	171822	270373	261	124218	140781	239332	75223	91786	190337	1765	100316	3110
Mammalia	Perissodactyla	Equus_quagga	Equus_quagga	1	301	24940	146379	167966	277270	261	121700	143287	252591	68928	90515	199819	1837	111141	4734
Mammalia	Eulipotyphla	Erinaceus_europaeus	Erinaceus_europaeus	1	207	36232	185336	215036	351082	204	149308	179008	315054	100192	129892	265938	1008	137054	10008
Mammalia	Primates	Eulemur_rufifrons	Eulemur_rufifrons	1	313	28605	130080	151903	258756	313	101788	123611	230464	58779	80602	187455	1436	108289	6838
Mammalia	Carnivora	Felis_catus	Felis_catus	1	296	27887	165324	190586	296681	204	137641	162903	268998	67932	93194	199289	1570	107665	4918
Mammalia	Primates	Homo_sapiens	Homo_sapiens	1	294	43543	180931	207166	321811	263	137651	163886	278531	83537	109772	224417	1387	116032	927
Mammalia	Primates	Lemur_catta	Lemur_catta	1	298	27103	127810	149410	254016	269	100976	122576	227182	57430	79030	183636	1199	105805	5797
Mammalia	Carnivora	Leopardus_geoffroyi	Leopardus_geoffroyi	1	297	28163	160264	185612	293186	224	132325	157673	265247	73684	99032	206606	1525	109099	4874
Mammalia	Carnivora	Lutra_lutra	Lutra_lutra	1	303	29456	140452	163631	267608	234	111230	134409	238386	67244	90423	194400	1331	105308	4822
Mammalia	Carnivora	Lynx_canadensis	Lynx_canadensis	1	298	28485	161971	187323	294705	275	133761	159113	266495	85998	111350	218732	1648	109030	4934
Mammalia	Primates	Macaca_fascicularis	Macaca_fascicularis	1	299	40418	179623	206227	328558	260	139465	166069	288400	85407	112011	234342	1383	123714	7020
Mammalia	Primates	Macaca_mulatta	Macaca_mulatta	1	297	40680	178923	205511	327050	217	138460	165048	286587	85081	111669	233208	1406	122945	6555
Mammalia	Primates	Macaca_nemestrina	Macaca_nemestrina	1	299	40598	177649	204282	326263	226	137277	163910	285891	83309	109942	231923	1573	123554	6661
Mammalia	Primates	Macaca_thibetana	Macaca_thibetana	1	302	40603	179717	206312	328212	236	139350	165945	287845	85280	111875	233775	1403	123303	6567
Mammalia	Rodentia	Marmota_flaviventris	Marmota_flaviventris	1	284	30042	148938	171530	286523	283	119179	141771	256764	70029	92621	207614	1444	116437	6183
Mammalia	Carnivora	Meles_meles	Meles_meles	1	306	27365	137379	160771	264979	245	110259	133651	237859	65599	88991	193199	1470	105678	4613
Mammalia	Rodentia	Meriones_unguiculatus	Meriones_unguiculatus	1	255	35399	131180	152436	265260	216	95997	117253	230077	60096	81352	194176	981	113805	6897
Mammalia		Mus_pahari	Mus_pahari	1	226	33064	143751	164249	274071	248	110935	131433	241255	72612	93110	202932	986	110808	10436
Mammalia	Carnivora	Mustela_erminea	Mustela_erminea	1	289	27756	137130	159975	264249	240	109614	132459	236733	66222	89067	193341	1483	105757	4860
Mammalia	Carnivora	Mustela_lutreola	Mustela_lutreola	1	305	27583	136535	159113	261755	231	109183	131761	234403	66704	89282	191924	1508	104150	3957
Mammalia	Carnivora	Mustela_nigripes	Mustela_nigripes	1	307	27008	136171	158952	261192	247	109410	132191	234431	66698	89479	191719	1685	103925	3957
Mammalia	Chiroptera	Myotis_daubentonii	Myotis_daubentonii	1	284	28230	145837	163949	261297	223	117830	135942	233290	73123	91235	188583	1257	98605	2951
Mammalia	Carnivora	Neofelis_nebulosa	Neofelis_nebulosa	1	296	28235	163575	188835	298001	244	135584	160844	270010	87605	112865	222031	1465	110631	6208
Mammalia	Carnivora	Neogale_vison	Neogale_vison	1	291	26421	134949	157985	261553	267	108795	131831	235399	65612	88648	192216	1492	105060	4759
Mammalia	Primates	Nycticebus_coucang	Nycticebus_coucang	1	288	37806	177892	205456	311790	242	140328	167892	274226	82811	110375	216709	1152	107486	7874
Mammalia	Lagomorpha	Oryctolagus_cuniculus	Oryctolagus_cuniculus	1	269	36353	164224	186948	292997	215	128086	150810	256859	66673	89397	195446	1238	107287	5342
Mammalia	Carnivora	Panthera_onca	Panthera_onca	1	296	28062	142913	167966	275320	219	115070	140123	247477	61718	86771	194125	1437	108791	5892
Mammalia	Primates	Pan_troglodytes	Pan_troglodytes	1	298	43148	178169	204476	324544	198	135219	161526	281594	86566	112873	232941	1425	121493	6250
Mammalia	Primates	Papio_anubis	Papio_anubis	1	295	42531	178351	204988	328623	228	136048	162685	286320	81064	107701	231336	1418	125053	7173
Mammalia	Rodentia	Peromyscus_eremicus	Peromyscus_eremicus	1	277	41561	140917	163645	288040	219	99575	122303	246698	59846	82574	206969	1639	126034	9852
Mammalia	Rodentia	Peromyscus_leucopus	Peromyscus_leucopus	1	274	40402	143431	165462	290777	207	103236	125267	250582	62849	84880	210195	1116	126431	10135
Mammalia	Chiroptera	Phyllostomus_discolor	Phyllostomus_discolor	1	295	26090	134267	152866	249699	232	108409	127008	223841	65912	84511	181344	1388	98221	3422
Mammalia	Primates	Pongo_abelii	Pongo_abelii	1	300	43591	176141	202629	320412	275	132825	159313	277096	84256	110744	228527	1536	119319	825
Mammalia	Carnivora	Prionailurus_bengalensis	Prionailurus_bengalensis	1	296	27856	162458	187786	295071	243	134845	160173	267458	86675	112003	219288	1514	108799	4859
Mammalia	Carnivora	Prionailurus_viverrinus	Prionailurus_viverrinus	1	299	28386	163418	188714	296240	269	135301	160597	268123	86366	111662	219188	1546	109072	5147
Mammalia	Chiroptera	Rhinolophus_ferrumequinum	Rhinolophus_ferrumequinum	1	142	25192	128885	151672	251441	223	103916	126703	226472	64506	87293	187062	1198	100967	5864
Mammalia	Primates	Rhinopithecus_roxellana	Rhinopithecus_roxellana	1	297	41135	178132	204179	327505	232	137229	163276	286602	83907	109954	233280	1375	124701	6756
Mammalia	Carnivora	Suricata_suricatta	Suricata_suricatta	1	294	29507	142436	163399	267932	290	113219	134182	238715	66643	87606	192139	1173	105706	4859
Mammalia	Carnivora	Vulpes_lagopus	Vulpes_lagopus	1	302	24246	155119	177509	284822	253	131126	153516	260829	78187	100577	207890	1207	108520	6225
Testudines	Testudines	Caretta_caretta	Caretta_caretta	1	1861	34107	352107	462415	698383	237	394965	505273	741241	427211	537519	773487	23958	259926	33497
Testudines	Testudines	Chelonia_mydas	Chelonia_mydas	1	1864	33921	380658	484848	709163	0	425985	530175	754490	458042	562232	786547	23974	248289	23901
Testudines	Testudines	Gopherus_flavomarginatus	Gopherus_flavomarginatus	1	2085	32424	471770	572625	787027	272	515208	616063	830465	545547	646402	860804	17516	231918	8154
Testudines	Testudines	Malaclemys_terrapin	Malaclemys_terrapin	1	1688	32047	435254	550047	755128	269	473603	588396	793477	503962	618755	823836	20371	225452	10504
Testudines	Testudines	Mauremys_mutica	Mauremys_mutica	1	2054	32110	331490	446739	661976	126	376456	491705	706942	406512	521761	736998	25915	241152	12023
Crocodilia	Reptilia	Crocodylia	Crocodylus_porosus	1	1276	31404	131171	248942	450654	195	99962	217733	419445	52396	170167	371879	14299	216011	8019
Crocodilia	Reptilia	Crocodylia	Gavialis_gangeticus	1	1744	51150	170489	335307	611283	222	119561	284379	560355	60085	224903	500879	24119	300095	8019
