Group	Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Aves	Aves	Apodiformes	Calypte_anna	Calypte_anna	340	21647	72614	87300	165217	246	51213	65899	143816	16352	31038	108955	1991	79908	2590
Aves	Aves	Passeriformes	Camarhynchus_parvulus	Camarhynchus_parvulus	338	13982	56575	69651	131031	238	42831	55907	117287	13533	26609	87989	1768	63148	2446
Aves	Aves	Galliformes	Centrocercus_urophasianus	Centrocercus_urophasianus	290	15233	56498	66907	120420	296	41561	51970	105483	13006	23415	76928	1733	55246	802
Aves	Aves	Passeriformes	Chamaea_fasciata	Chamaea_fasciata	317	15854	57201	71678	6784684	232	41579	56056	6769062	12400	26877	6739883	1572	6714578	6653731
Aves	Aves	Charadriiformes	Chroicocephalus_ridibundus	Chroicocephalus_ridibundus	182	16826	66114	79058	151913	215	49503	62447	135302	18766	31710	104565	395	73250	187
Aves	Aves	Coliiformes	Colius_striatus	Colius_striatus	228	16433	60538	75113	1019141	278	44383	58958	1002986	12468	27043	971071	2246	946274	879479
Aves	Aves	Columbiformes	Columba_livia	Columba_livia	347	16530	60101	75783	137590	43	43614	59296	121103	13647	29329	91136	1707	63514	104
Aves	Aves	Passeriformes	Corapipo_altera	Corapipo_altera	286	15967	60717	73678	133152	315	45065	58026	117500	15526	28487	87961	5286	64760	1942
Aves	Aves	Passeriformes	Corvus_brachyrhynchos	Corvus_brachyrhynchos	312	16013	59444	72822	980498	1450	44881	58259	965935	14351	27729	935405	4312	911988	818049
Aves	Aves	Passeriformes	Corvus_cornix_cornix	Corvus_cornix_cornix	312	15338	58265	72119	137277	272	43199	57053	122211	13612	27466	92624	1864	67022	0
Aves	Aves	Passeriformes	Corvus_hawaiiensis	Corvus_hawaiiensis	315	15389	58436	72258	152667	251	43298	57120	137529	13690	27512	107921	1857	82266	552
Aves	Aves	Passeriformes	Corvus_kubaryi	Corvus_kubaryi	315	15333	57311	72616	152621	237	42215	57520	137525	12627	27932	107937	2024	82029	549
Aves	Aves	Passeriformes	Corvus_moneduloides	Corvus_moneduloides	312	15348	57102	72270	152636	269	42023	57191	137557	12377	27545	107911	1862	82228	14697
Aves	Aves	Galliformes	Coturnix_japonica	Coturnix_japonica	286	14705	51748	63576	113578	59	37102	48930	98932	9454	21282	71284	1436	51438	288
Aves	Aves	Anseriformes	Cygnus_atratus	Cygnus_atratus	159	15878	51793	62694	114507	194	36109	47010	98823	10238	21139	72952	2457	54270	311
Aves	Aves	Anseriformes	Cygnus_olor	Cygnus_olor	0	14816	51155	61513	112119	183	36522	46880	97486	10620	20978	71584	2344	52950	139
Aves	Aves	Galliformes	Cyrtonyx_montezumae	Cyrtonyx_montezumae	1106	16820	51614	62755	112815	1136	35930	47071	97131	8511	19652	69712	1428	51488	1897
Aves	Aves	Casuariiformes	Dromaius_novaehollandiae	Dromaius_novaehollandiae	381	18012	65435	87257	196850	124	47547	69369	178962	16491	38313	147906	2553	112146	213
Aves	Aves	Falconiformes	Falco_rusticolus	Falco_rusticolus	388	16308	59576	73257	138982	196	43464	57145	122870	12583	26264	91989	1894	67619	1206
Aves	Aves	Galliformes	Gallus_gallus	Gallus_gallus	276	15172	52307	65396	116913	236	37371	50460	101977	8746	21835	73352	1643	53160	556
Aves	Aves	Gaviiformes	Gavia_stellata	Gavia_stellata	884	16976	64177	78754	145972	333	47534	62111	129329	17094	31671	98889	2321	69539	291
Aves	Aves	Gruiformes	Grus_americana	Grus_americana	342	16172	61193	76510	138734	245	45266	60583	122807	15791	31108	93332	1903	64127	129
Aves	Aves	Accipitriformes	Gymnogyps_californianus	Gymnogyps_californianus	259	17080	64300	79961	145061	2696	49916	65577	130677	16262	31923	97023	2686	67786	182
Aves	Aves	Accipitriformes	Harpia_harpyja	Harpia_harpyja	370	16415	61537	77419	143322	162	45284	61166	127069	14870	30752	96655	1987	67890	189
Aves	Aves	Apodiformes	Heliangelus_exortis	Heliangelus_exortis	32	27646	81408	97956	181565	248	54010	70558	154167	15183	31731	115340	1760	85369	1919
Aves	Aves	Passeriformes	Hirundo_rustica	Hirundo_rustica	338	15537	57692	71397	170207	326	42481	56186	154996	13147	26852	125662	1874	100684	38851
