Species	EPHA5-CENPC	EPHA5-UBA6	EPHA5-YTHDC1	CENPC-UBA6	CENPC-YTHDC1	UBA6-YTHDC1	
Symphalangus_syndactylus	1715963	1861411	2352926	66266	557781	406158	
Tachyglossus_aculeatus	923848	1037726	1666483	54579	683336	559506	
Taeniopygia_guttata	325104	356980	482212	4058	129290	100760	
Thamnophis_elegans	327378	388169	714161	27621	353613	221545	
Theropithecus_gelada	1816300	1963927	2609632	75492	721197	574669	
Tiliqua_scincoides	417968	462835	743029	7729	287923	225534	
Trachemys_scripta	794013	841379	1075726	1662	236009	208278	
Ursus_arctos	1642352	1784685	2432936	56703	704954	564772	
Vidua_chalybeata	343308	375919	500997	4069	129147	100300	
Vidua_macroura	342312	374924	499915	4071	129062	100253	
Vulpes_lagopus	1627406	1764564	2441280	58641	735357	593012	
Xenopus_tropicalis	303163	396880	559323	37625	200068	119639	
Zalophus_californianus	1669073	1817075	2527229	63900	774054	622415	
Zonotrichia_leucophrys	324286	356138	481455	4038	129355	100203	
Zootoca_vivipara	429982	461161	678339	5356	222534	178367	
