Order	Species_name	Num_Gaps	EPHA5_CENPC	EPHA5_UBA6	EPHA5_YTHDC1	CENPC_UBA6	CENPC_YTHDC1	UBA6_YTHDC1
Artiodactyla	Ovis_aries	0	2043871	2193219	2970647	43145	820573	683622
Artiodactyla	Ovis_canadensis	0	2010439	2158246	2932816	43154	817724	680788
Anseriformes	Oxyura_jamaicensis	4	329057	371037	509525	14457	152945	108267
Carnivora	Panthera_leo	0	1722543	1865737	2583236	62713	780212	628716
Carnivora	Panthera_onca	57	1661824	1801124	2470866	58686	728428	581661
Carnivora	Panthera_tigris	0	1691417	1835051	2548180	62914	776043	625140
Carnivora	Panthera_uncia	23	1666743	1811138	2526975	63255	779092	621026
Primates	Pan_troglodytes	0	1802547	1949031	2635075	73598	759642	603604
Primates	Papio_anubis	1	1807710	1958666	2602873	72912	717119	573030
Passeriformes	Parus_major	0	325491	354159	480513	3919	130273	101705
Passeriformes	Passer_domesticus	0	256453	361958	492924	4587	135553	106109
Columbiformes	Patagioenas_fasciata	0	320156	1781160	1912348	2295727	2426915	105006
Anura	Pelobates_fuscus	0	1004255	1311786	2375098	243346	1306658	985838
Rodentia	Perognathus_longimembris	0	1005166	1099851	1535145	43080	478374	385800
Rodentia	Peromyscus_eremicus	1	1428104	1539177	2175599	57168	693590	572902
Rodentia	Peromyscus_leucopus	0	1461792	1568461	2184922	56056	672517	558414
Rodentia	Peromyscus_maniculatus	89	2141425	2016824	1410398	55642	618743	494142
Artiodactyla	Phacochoerus_africanus	1	1670793	1813360	2512365	66554	765559	612810
Cuculiformes	Phaenicophaeus_curvirostris	0	398638	432477	571631	11459	150613	111352
Artiodactyla	Phocoena_phocoena	1	1679863	1819032	2361152	48245	590365	463762
Artiodactyla	Phocoena_sinus	0	1694669	1832280	2410658	46435	624813	500056
Chiroptera	Phyllostomus_discolor	1	1289261	1406816	2026827	50707	670718	544763
Primates	Piliocolobus_tephrosceles	33	1792011	1938889	2607494	80251	748856	596918
Passeriformes	Pithys_albifrons	0	365152	398797	530882	4432	136517	103872
Caudata	Pleurodeles_waltl	0	10580255	12340998	13441776	856503	1957281	525202
Squamata	Podarcis_raffonei	0	1601143	1637971	1889499	7105	258633	213200
Passeriformes	Poecile_atricapillus	0	327369	356104	483121	3929	130946	101917
Piciformes	Pogoniulus_pusillus	0	392185	427202	571659	16339	160796	115857
Primates	Pongo_abelii	0	1853446	1999549	37097987	73470	39306371	39452474
Primates	Pongo_pygmaeus	0	1862208	2020558	28055791	73518	30267544	30425894
Passeriformes	Prinia_subflava	1	340473	373998	500222	4058	130282	101864
