Group	IL34_status	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Chondrichthyes	1	Rajiformes	Leucoraja_erinaceus	Leucoraja_erinaceus	2799	51929	224978	389544	672704	5778	178827	343393	814749	131117	295683	863879	27945	1036928	1201494
Chondrichthyes	1	Myliobatiformes	Mobula_hypostoma	Mobula_hypostoma	22517	118280	509445	765867	1641622	20418	411583	668005	2034758	331124	587546	2130521	65716	2521686	2778108
Chondrichthyes	1	Torpediniformes	Narcine_bancroftii	Narcine_bancroftii	25245	168846	507530	787609	2300989	71156	409840	689919	2769352	286965	567044	2912953	55163	3251637	3531716
Chondrichthyes	1		Pristiophorus_japonicus	Pristiophorus_japonicus	25585	113738	644219	964409	1889811	33946	564427	884617	2342533	469703	789893	2430686	119008	2961167	3281357
Chondrichthyes	1	Rhinopristiformes	Pristis_pectinata	Pristis_pectinata	4030	58584	309167	513985	944973	11530	262113	466931	1194636	209771	414589	1249190	46656	1499773	1704591
Chondrichthyes	1	Carcharhiniformes	Scyliorhinus_canicula	Scyliorhinus_canicula	10336	136250	695935	1024436	2189479	41948	601633	930134	2575565	486299	814800	2701479	122006	3261164	3589665
Chondrichthyes	1	Orectolobiformes	Stegostoma_tigrinum	Stegostoma_tigrinum	0	36963	376769	566542	1174110	11048	350854	540627	1499878	292651	482424	1546361	50403	1886167	2075940
Crocodylia	1	Crocodylia	Alligator_mississippiensis	Alligator_mississippiensis	0	35422	4069065	3847379	3402004	3192	4036835	3815149	3369774	3985682	3763996	3318621	14097	223929	2243
Crocodylia	1	Crocodylia	Crocodylus_porosus	Crocodylus_porosus	1357	31404	131171	248942	450654	197	99964	217735	419447	52396	170167	371879	14299	216011	8019
Crocodylia	1	Crocodylia	Gavialis_gangeticus	Gavialis_gangeticus	1744	54071	170489	335307	611283	3144	119562	284380	560356	60085	224903	500879	24119	300095	8020
Mammalia	1	Carnivora	Acinonyx_jubatus	Acinonyx_jubatus	296	27985	160781	186101	293837	219	133015	158335	266071	75986	101306	209042	1541	109277	5911
Mammalia	1	Rodentia	Acomys_russatus	Acomys_russatus	92	40500	144389	162901	277527	214	104103	122615	237241	63468	81980	196606	1457	116083	7620
Mammalia	1	Carnivora	Ailuropoda_melanoleuca	Ailuropoda_melanoleuca	1345	27097	142454	162820	265823	215	115572	135938	238941	67007	87373	190376	6012	109015	2707
Mammalia	1	Rodentia	Alexandromys_fortis	Alexandromys_fortis	281	33595	133416	155466	265580	225	100046	122096	232210	60403	82453	192567	1075	111189	4002
Mammalia	1	Primates	Aotus_nancymaae	Aotus_nancymaae	296	35847	164278	190121	319299	266	128697	154540	283718	78824	104667	233845	1576	130754	4297
Mammalia	1	Rodentia	Apodemus_sylvaticus	Apodemus_sylvaticus	238	35104	143606	164829	273898	215	108717	129940	239009	71967	93190	202259	897	109966	9544
Mammalia	1	Chiroptera	Artibeus_jamaicensis	Artibeus_jamaicensis	298	26774	147403	165870	264492	262	120891	139358	237980	71198	89665	188287	1221	99843	4619
Mammalia	1	Rodentia	Arvicanthis_niloticus	Arvicanthis_niloticus	228	33199	141057	159940	272182	230	108088	126971	239213	69594	88477	200719	1096	113338	9430
Mammalia	1	Rodentia	Arvicola_amphibius	Arvicola_amphibius	648	34019	135515	157096	278773	0	101463	123044	244721	62594	84175	205852	1507	123184	6398
Mammalia	1	Artiodactyla	Balaenoptera_acutorostrata	Balaenoptera_acutorostrata	295	28307	149887	172761	378178	253	121833	144707	350124	71421	94295	299712	1423	206840	106675
Mammalia	1	Artiodactyla	Balaenoptera_musculus	Balaenoptera_musculus	297	27351	144668	168208	372188	266	117583	141123	345103	69739	93279	297259	2059	206039	106281
Mammalia	1		Balaenoptera_ricei	Balaenoptera_ricei	296	27734	147064	168435	361269	268	119598	140969	333803	71693	93064	285898	1635	194469	94721
Mammalia	1	Artiodactyla	Bos_javanicus	Bos_javanicus	254	25658	132789	155233	37944616	238	107369	129813	37962737	68252	90696	37988141	1089	38095272	38117716
Mammalia	1	Artiodactyla	Bos_mutus	Bos_mutus	286	25735	134033	155285	38166070	220	108518	129770	38183141	69320	90572	38208590	815	38316888	38338140
Mammalia	1	Artiodactyla	Bubalus_bubalis	Bubalus_bubalis	254	25512	132919	155885	38013864	205	107612	130578	38032178	68485	91451	38057436	1524	38164843	38187809
Mammalia	1	Artiodactyla	Bubalus_kerabau	Bubalus_kerabau	0	25514	135017	159083	38099804	208	109711	133777	38114036	70576	94642	38141998	4646	38251501	38275567
Mammalia	1	Artiodactyla	Budorcas_taxicolor	Budorcas_taxicolor	0	25148	132854	153394	37892431	274	107980	128520	37902722	68688	89228	37931312	1080	38039018	38059558
Mammalia	1	Primates	Callithrix_jacchus	Callithrix_jacchus	295	35780	166336	192044	320992	0	130536	156244	285192	82758	108466	237414	5628	134576	3233
Mammalia	1	Carnivora	Callorhinus_ursinus	Callorhinus_ursinus	307	27127	141140	162132	267883	212	114225	135217	240968	71257	92249	198000	1974	107725	4103
Mammalia	1	Artiodactyla	Camelus_bactrianus	Camelus_bactrianus	968	24199	122470	173519	289882	250	98521	149570	265933	54264	105313	221676	35342	151705	51474
Mammalia	1	Artiodactyla	Camelus_ferus	Camelus_ferus	303	23622	121972	144289	287545	254	98604	120921	264177	54306	76623	219879	6682	149938	49080
Mammalia	1	Carnivora	Canis_lupus_dingo	Canis_lupus_dingo	301	27674	149916	172735	279725	219	122461	145280	252270	69212	92031	199021	1411	108401	6461
