Group	Species_name	IL34_status	COG4-SF3B3	SF3B3-MTSS2	MTSS2-VAC14
Mammalia	Lemur_catta	Intact	269	57430	1408
Mammalia	Leopardus_geoffroyi	Intact	224	73684	2058
Mammalia	Lepus_europaeus	Intact	255	70833	1403
Mammalia	Loxodonta_africana	Intact	245	83583	1651
Mammalia	Lutra_lutra	Intact	234	67244	1331
Mammalia	Lynx_canadensis	Intact	275	85998	1648
Mammalia	Lynx_rufus	Intact	299	86801	1661
Mammalia	Macaca_fascicularis	Intact	260	85407	1383
Mammalia	Macaca_mulatta	Intact	217	85081	1540
Mammalia	Macaca_nemestrina	Intact	226	83309	1573
Mammalia	Macaca_thibetana_thibetana	Intact	236	85280	1403
Mammalia	Manis_pentadactyla	Intact	192	62271	1395
Mammalia	Marmota_flaviventris	Intact	283	70029	1444
Mammalia	Marmota_monax	Intact	291	69751	1987
Mammalia	Meles_meles	Intact	245	65599	1472
Mammalia	Meriones_unguiculatus	Intact	217	61052	992
Mammalia	Mesocricetus_auratus	Intact	220	68540	1056
Mammalia	Mesoplodon_densirostris	Intact	274	70333	1632
Mammalia	Microcebus_murinus	Intact	212	64974	4866
Mammalia	Microtus_oregoni	Intact	131	61109	595
Mammalia	Mirounga_angustirostris	Intact	0	68573	8411
Mammalia	Molossus_molossus	Intact	269	81442	6252
Mammalia	Monodon_monoceros	Intact	336	66378	1605
Mammalia	Moschus_berezovskii	Intact	240	71637	916
Mammalia	Mus_musculus	Intact	0	69092	1079
Mammalia	Mustela_erminea	Intact	240	66222	1486
Mammalia	Mustela_lutreola	Intact	231	66704	1508
Mammalia	Mustela_putorius_furo	Intact	222	66424	1496
Mammalia	Myotis_myotis	Intact	2221	76409	5609
Mammalia	Myotis_yumanensis	Intact	274	77747	1111
Mammalia	Neofelis_nebulosa	Intact	244	87605	1467
Mammalia	Neogale_vison	Intact	267	65612	1492
Mammalia	Nyctereutes_procyonoides	Intact	270	69395	1371
Mammalia	Nycticebus_coucang	Intact	242	85548	1249
Mammalia	Ochotona_curzoniae	Intact	261	58407	1465
Mammalia	Ochotona_princeps	Intact	195	63097	1641
Mammalia	Orcinus_orca	Intact	240	38971	8064
Mammalia	Ornithorhynchus_anatinus	Intact	76	55089	8544
Mammalia	Oryctolagus_cuniculus	Intact	215	66673	1249
Mammalia	Ovis_aries	Intact	267	68577	922
Mammalia	Ovis_canadensis	Intact	222	70885	1045
Mammalia	Pan_paniscus	Intact	212	85932	8195
Mammalia	Panthera_leo	Intact	289	85341	522
Mammalia	Panthera_pardus	Intact	255	86289	1466
Mammalia	Panthera_tigris	Intact	288	85603	522
Mammalia	Pan_troglodytes	Intact	7403	86566	1427
Mammalia	Perognathus_longimembris_pacificus	Intact	232	40186	1339
Mammalia	Peromyscus_californicus_insignis	Intact	234	63505	1249
Mammalia	Peromyscus_leucopus	Intact	207	62849	1288
Mammalia	Phacochoerus_africanus	Intact	236	80651	1502
Mammalia	Phascolarctos_cinereus	Intact	1362	111319	2465
Mammalia	Phocoena_phocoena	Intact	323	66623	1689
Mammalia	Phocoena_sinus	Intact	281	64352	1462
Mammalia	Phodopus_roborovskii	Intact	205	60810	856
Mammalia	Phyllostomus_discolor	Intact	258	68553	1402
Mammalia	Phyllostomus_hastatus	Intact	268	66275	5962
Mammalia	Pipistrellus_kuhlii	Intact	244	89800	1283
Mammalia	Pongo_abelii	Intact	275	84256	1540
Mammalia	Pongo_pygmaeus	Intact	2	84263	1392
