Group	IL34_status	Order	Species_name	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Chondrichthyes	Intact	Rhinopristiformes	Pristis_pectinata	4030	58584	309167	513985	944973	11530	262113	466931	1194636	209771	414589	1249190	46656	1499773	1704591
Chondrichthyes	Intact	Carcharhiniformes	Scyliorhinus_canicula	10336	136250	695935	1024436	2189479	41948	601633	930134	2575565	486299	814800	2701479	122006	3261164	3589665
Chondrichthyes	Intact	Orectolobiformes	Stegostoma_tigrinum	0	36963	376769	566542	1174110	11048	350854	540627	1499878	292651	482424	1546361	50403	1886167	2075940
Mammalia	Intact	Carnivora	Acinonyx_jubatus	296	27985	160781	186101	293837	219	133015	158335	266071	75986	101306	209042	1541	109277	5911
Mammalia	Intact	Rodentia	Acomys_russatus	92	40500	144389	162901	277527	214	104103	122615	237241	63468	81980	196606	1457	116083	7620
Mammalia	Intact	Primates	Aotus_nancymaae	296	35847	164278	190121	319299	266	128697	154540	283718	78824	104667	233845	1576	130754	4297
Mammalia	Intact	Rodentia	Apodemus_sylvaticus	238	35104	143606	164829	273898	215	108717	129940	239009	71967	93190	202259	897	109966	9544
Mammalia	Intact	Chiroptera	Artibeus_jamaicensis	298	26774	147403	165870	264492	262	120891	139358	237980	71198	89665	188287	1221	99843	4619
Mammalia	Intact	Rodentia	Arvicanthis_niloticus	228	33199	141057	159940	272182	230	108088	126971	239213	69594	88477	200719	1096	113338	9430
Mammalia	Intact	Rodentia	Arvicola_amphibius	648	34019	135515	157096	278773	0	101463	123044	244721	62594	84175	205852	1507	123184	6398
Mammalia	Intact	Artiodactyla	Balaenoptera_acutorostrata	295	28307	149887	172761	378178	253	121833	144707	350124	71421	94295	299712	1423	206840	106675
Mammalia	Intact	Artiodactyla	Balaenoptera_musculus	297	27351	144668	168208	372188	266	117583	141123	345103	69739	93279	297259	2059	206039	106281
Mammalia	Intact		Balaenoptera_ricei	296	27734	147064	168435	361269	268	119598	140969	333803	71693	93064	285898	1635	194469	94721
Mammalia	Intact	Artiodactyla	Bos_javanicus	254	25658	132789	155233	37944616	238	107369	129813	37962737	68252	90696	37988141	1089	38095272	38117716
Mammalia	Intact	Artiodactyla	Bos_mutus	286	25735	134033	155285	38166070	220	108518	129770	38183141	69320	90572	38208590	815	38316888	38338140
Mammalia	Intact	Artiodactyla	Bubalus_bubalis	254	25512	132919	155885	38013864	205	107612	130578	38032178	68485	91451	38057436	1524	38164843	38187809
Mammalia	Intact	Artiodactyla	Bubalus_kerabau	0	25514	135017	159083	38099804	208	109711	133777	38114036	70576	94642	38141998	4646	38251501	38275567
Mammalia	Intact	Artiodactyla	Budorcas_taxicolor	0	25148	132854	153394	37892431	274	107980	128520	37902722	68688	89228	37931312	1080	38039018	38059558
Mammalia	Intact	Primates	Callithrix_jacchus	295	35780	166336	192044	320992	0	130536	156244	285192	82758	108466	237414	5628	134576	3233
Mammalia	Intact	Artiodactyla	Camelus_ferus	303	23622	121972	144289	287545	254	98604	120921	264177	54306	76623	219879	6682	149938	49080
Mammalia	Intact	Carnivora	Canis_lupus_dingo	301	27674	149916	172735	279725	219	122461	145280	252270	69212	92031	199021	1411	108401	6461
Mammalia	Intact	Artiodactyla	Capra_hircus	252	25657	133693	154405	38106819	267	108303	129015	38123580	69055	89767	38148985	1066	38257021	38277733
Mammalia	Intact	Rodentia	Cavia_porcellus	249	30353	140225	161628	271141	2455	112327	133730	243243	65668	87071	196584	2050	111563	7484
Mammalia	Intact	Artiodactyla	Cervus_elaphus	254	25288	141908	162322	36653296	215	116835	137249	36669140	77952	98366	36694174	942	36810794	36831208
Mammalia	Intact	Rodentia	Chionomys_nivalis	2	36437	137212	158030	276057	2640	103415	124233	242260	59460	80278	198305	928	118955	5865
Mammalia	Intact	Primates	Chlorocebus_sabaeus	299	40976	183765	210388	332013	237	143026	169649	291274	92349	118972	240597	1394	123019	6612
