species	gene_status	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Macaca_nemestrina	1	299	40598	177649	204282	326263	226	137277	163910	285891	83309	109942	231923	1573	123554	6661
Macaca_thibetana	1	302	40603	179717	206312	328212	236	139350	165945	287845	85280	111875	233775	1403	123303	6567
Malaclemys_terrapin	1	1688	32047	435254	550047	755128	269	473603	588396	793477	503962	618755	823836	20371	225452	10504
Manis_pentadactyla	1	93	23350	146616	169773	275063	192	123458	146615	251905	62271	85428	190718	1395	106685	3503
Marmota_flaviventris	1	284	30042	148938	171530	286523	283	119179	141771	256764	70029	92621	207614	1444	116437	6183
Mauremys_mutica	1	2054	32110	331490	446739	661976	126	376456	491705	706942	406512	521761	736998	25915	241152	12023
Mauremys_reevesii	1	1023	30367	347286	467134	681625	0	386626	506474	720965	415970	535818	750309	23362	237853	8948
Meles_meles	1	306	27365	137379	160771	264979	245	110259	133651	237859	65599	88991	193199	1470	105678	4613
Melopsittacus_undulatus	1	360	16423	60613	73895	144688	229	44419	57701	128494	13659	26941	97734	1759	72552	3904
Meriones_unguiculatus	1	255	35399	131180	152436	265260	216	95997	117253	230077	60096	81352	194176	981	113805	6897
Mesoplodon_densirostris	1	320	28465	146460	169458	372227	274	118269	141267	344036	70333	93331	296100	1632	204401	108073
Microcebus_murinus	1	0	18334	138495	159206	263356	212	120373	141084	245234	64974	85685	189835	1221	105371	4987
Microtus_ochrogaster	1	0	23625	127382	148808	265724	150	103907	125333	242249	62694	84120	201036	924	117840	4689
Mobula_hypostoma	1	22517	118280	509445	765867	1641622	20418	411583	668005	2034758	331124	587546	2130521	65716	2521686	2778108
Molothrus_aeneus	1	324	14600	55986	70747	140359	259	41645	56406	126018	12292	27053	96665	1873	71485	10119
Molothrus_ater	1	326	14625	55934	70702	10118367	284	41593	56361	10126355	12273	27041	10140654	1864	10181963	10196731
Monodelphis_domestica	1	285	35088	206168	244448	385741	412	171492	209772	351065	131667	169947	311240	1569	142862	16611
Mus_caroli	1	235	35687	141565	162731	267988	228	106106	127272	232529	70448	91614	196871	598	105855	8257
Mus_musculus	1	223	35511	141057	162059	272204	0	105201	126203	236348	69092	90094	200239	689	110834	8277
Mus_pahari	1	226	33064	143751	164249	274071	248	110935	131433	241255	72612	93110	202932	986	110808	10436
Mustela_erminea	1	289	27756	137130	159975	264249	240	109614	132459	236733	66222	89067	193341	1483	105757	4860
Mustela_lutreola	1	305	27583	136535	159113	261755	231	109183	131761	234403	66704	89282	191924	1508	104150	3957
Mustela_nigripes	1	307	27008	136171	158952	261192	247	109410	132191	234431	66698	89479	191719	1685	103925	3957
Myotis_daubentonii	1	284	28230	145837	163949	261297	223	117830	135942	233290	73123	91235	188583	1257	98605	2951
Narcine_bancroftii	1	23672	168846	507530	787609	2300985	71156	409840	689919	2767779	286965	567044	2912953	50277	3251637	3531716
Neofelis_nebulosa	1	296	28235	163575	188835	298001	244	135584	160844	270010	87605	112865	222031	1465	110631	6208
Neogale_vison	1	291	26421	134949	157985	261553	267	108795	131831	235399	65612	88648	192216	1492	105060	4759
Neomonachus_schauinslandi	1	305	27679	143288	167887	436910	209	115818	140417	409440	65307	89906	358929	7834	276857	168944
