Gene_name	Species_name	GC_content
ADRA1B	Macaca_mulatta	62.94
ADRA1B	Panthera_onca	64.29
ADRA1B	Trachemys_scripta_elegans	46.13
ADRA1B	Emys_orbicularis	46.65
ADRA1B	Mus_caroli	60.58
ADRA1B	Rhea_pennata	44.23
ADRA1B	Meles_meles	63.64
ADRA1B	Manacus_candei	46.71
ADRA1B	Moschus_berezovskii	63.04
ADRA1B	Tachyglossus_aculeatus	59.95
ADRA1B	Desmodus_rotundus	63.89
ADRA1B	Lagopus_muta	44.05
ADRA1B	Cervus_canadensis	63.43
ADRA1B	Myiozetetes_cayanensis	48.53
ADRA1B	Caretta_caretta	45.96
ADRA1B	Tursiops_truncatus	63.06
ADRA1B	Pteropus_vampyrus	57.95
ADRA1B	Leptonychotes_weddellii	57.00
ADRA1B	Corvus_moneduloides	54.39
ADRA1B	Ovis_aries	63.43
ADRA1B	Peromyscus_eremicus	61.23
ADRA1B	Microtus_ochrogaster	60.78
ADRA1B	Pyrgilauda_ruficollis	56.14
ADRA1B	Cygnus_olor	44.62
ADRA1B	Vombatus_ursinus	53.60
ADRA1B	Falco_peregrinus	43.38
ADRA1B	Haliaeetus_leucocephalus	43.98
ADRA1B	Nanorana_parkeri	47.74
ADRA1B	Piliocolobus_tephrosceles	63.19
ADRA1B	Manacus_vitellinus	46.77
ADRA1B	Serinus_canaria	56.68
ADRA1B	Fulmarus_glacialis	43.77
ADRA1B	Octodon_degus	64.27
ADRA1B	Dasypus_novemcinctus	64.90
ADRA1B	Alexandromys_fortis	60.71
ADRA1B	Elephas_maximus_indicus	62.03
ADRA1B	Rousettus_aegyptiacus	65.57
ADRA1B	Pezoporus_wallicus	43.95
ADRA1B	Balaenoptera_musculus	63.64
ADRA1B	Gopherus_flavomarginatus	45.44
ADRA1B	Chlorocebus_sabaeus	63.19
ADRA1B	Vicugna_pacos	56.79
ADRA1B	Microtus_oregoni	60.78
ADRA1B	Peromyscus_maniculatus_bairdii	61.55
ADRA1B	Centrocercus_urophasianus	44.18
ADRA1B	Panthera_pardus	64.22
ADRA1B	Ornithorhynchus_anatinus	60.67
ADRA1B	Rana_temporaria	47.13
ADRA1B	Nyctibius_grandis	43.91
ADRA1B	Macaca_thibetana_thibetana	63.38
ADRA1B	Vulpes_lagopus	66.54
ADRA1B	Leptosomus_discolor	44.03
ADRA1B	Onychostruthus_taczanowskii	56.14
ADRA1B	Pseudopipra_pipra	46.84
ADRA1B	Prinia_subflava	56.82
ADRA1B	Orcinus_orca	62.81
ADRA1B	Myotis_lucifugus	63.15
ADRA1B	Mandrillus_leucophaeus	56.14
ADRA1B	Dama_dama	63.56
ADRA1B	Odocoileus_virginianus	63.43
ADRA1B	Anser_cygnoides	44.55
ADRA1B	Ictidomys_tridecemlineatus	63.75
ADRA1B	Anas_acuta	44.34
ADRA1B	Lontra_canadensis	63.84
ADRA1B	Monodon_monoceros	63.00
ADRA1B	Ursus_americanus	64.48
ADRA1B	Pseudopodoces_humilis	55.22
ADRA1B	Bison_bison_bison	56.92
ADRA1B	Mastomys_coucha	60.65
ADRA1B	Chinchilla_lanigera	65.44
ADRA1B	Rattus_norvegicus	60.78
ADRA1B	Jaculus_jaculus	63.71
ADRA1B	Mirounga_leonina	64.74
ADRA1B	Vidua_macroura	55.94
ADRA1B	Phalacrocorax_carbo	44.10
ADRA1B	Cinclus_cinclus	55.56
ADRA1B	Lipotes_vexillifer	63.58
ADRA1B	Nannospalax_galili	62.15
ADRA1B	Hippopotamus_amphibius_kiboko	63.71
ADRA1B	Corvus_cornix_cornix	54.39
ADRA1B	Mauremys_reevesii	46.13
ADRA1B	Prionailurus_bengalensis	64.16
ADRA1B	Nyctereutes_procyonoides	66.08
ADRA1B	Cricetulus_griseus	60.45
ADRA1B	Sarcophilus_harrisii	53.47
ADRA1B	Pseudophryne_corroboree	48.40
ADRA1B	Lynx_canadensis	64.22
ADRA1B	Sturnus_vulgaris	55.51
ADRA1B	Eptesicus_fuscus	63.83
ADRA1B	Hyperolius_riggenbachi	52.14
ADRA1B	Myotis_yumanensis	64.15
ADRA1B	Chaetura_pelagica	43.57
ADRA1B	Apus_apus	44.10
ADRA1B	Dipodomys_ordii	61.68
ADRA1B	Colius_striatus	43.85
ADRA1B	Pezoporus_occidentalis	43.95
ADRA1B	Gavia_stellata	43.38
ADRA1B	Sorex_araneus	69.25
ADRA1B	Equus_caballus	64.52
ADRA1B	Symphalangus_syndactylus	62.82
ADRA1B	Phyllostomus_hastatus	64.47
ADRA1B	Tyto_alba	43.64
ADRA1B	Pelecanus_crispus	44.36
ADRA1B	Falco_biarmicus	43.25
ADRA1B	Poecile_atricapillus	55.35
ADRA1B	Camelus_ferus	64.17
ADRA1B	Macaca_fascicularis	63.45
ADRA1B	Pipistrellus_kuhlii	65.31
ADRA1B	Lonchura_striata	55.87
ADRA1B	Lathamus_discolor	43.90
ADRA1B	Motacilla_alba_alba	57.02
ADRA1B	Lynx_rufus	64.22
ADRA1B	Sylvia_atricapilla	57.04
ADRA1B	Ambystoma_mexicanum	63.37
ADRA1B	Calypte_anna	44.64
ADRA1B	Budorcas_taxicolor	63.62
ADRA1B	Pipra_filicauda	46.77
ADRA1B	Otolemur_garnettii	62.93
ADRA1B	Ammospiza_nelsoni	57.74
ADRA1B	Phodopus_roborovskii	60.19
ADRA1B	Sus_scrofa	62.81
ADRA1B	Globicephala_melas	62.74
ADRA1B	Aquila_chrysaetos_chrysaetos	43.64
ADRA1B	Spea_bombifrons	44.08
ADRA1B	Molothrus_ater	56.48
ADRA1B	Odobenus_rosmarus_divergens	64.09
ADRA1B	Pan_troglodytes	62.70
ADRA1B	Cervus_elaphus	63.50
ADRA1B	Athene_cunicularia	43.77
ADRA1B	Macaca_nemestrina	62.94
ADRA1B	Pteropus_alecto	59.71
ADRA1B	Aphelocoma_coerulescens	54.11
ADRA1B	Monodelphis_domestica	53.27
ADRA1B	Phoca_vitulina	64.04
ADRA1B	Ammospiza_caudacuta	57.74
ADRA1B	Camarhynchus_parvulus	54.96
ADRA1B	Artibeus_jamaicensis	63.89
ADRA1B	Cuculus_canorus	44.31
ADRA1B	Columba_livia	45.04
ADRA1B	Eubalaena_glacialis	63.58
ADRA1B	Cynocephalus_volans	64.09
ADRA1B	Arvicanthis_niloticus	60.91
ADRA1B	Aotus_nancymaae	64.23
