Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value
CYYR1	Aves	Passeriformes	Taeniopygia_guttata	0	56761	0
CYYR1	Reptilia	Testudines	Terrapene_carolina	23143	56761	0.407727
DIP2A	Aves	Anseriformes	Anas_platyrhynchos	69674	112314	0.62035
DIP2A	Lepidosauria	Squamata	Anolis_carolinensis	6866	112314	0.0611322
DIP2A	Lepidosauria	Squamata	Anolis_sagrei	7500	112314	0.0667771
DIP2A	Aves	Anseriformes	Anser_brachyrhynchus	76373	112314	0.679995
DIP2A	Aves	Accipitriformes	Aquila_chrysaetos	85030	112314	0.757074
DIP2A	Reptilia	Testudines	Chelonoidis_abingdonii	22659	112314	0.201747
DIP2A	Reptilia	Testudines	Chrysemys_picta	22128	112314	0.197019
DIP2A	Aves	Galliformes	Coturnix_japonica	85999	112314	0.765702
DIP2A	Reptilia	Crocodylia	Crocodylus_porosus	22958	112314	0.204409
DIP2A	Lepidosauria	Squamata	Eublepharis_macularius	6993	112314	0.0622629
DIP2A	Lepidosauria	Squamata	Euleptes_europaea	7475	112314	0.0665545
DIP2A	Aves	Passeriformes	Ficedula_albicollis	49390	112314	0.439749
DIP2A	Aves	Passeriformes	Geospiza_fortis	53745	112314	0.478524
DIP2A	Reptilia	Testudines	Gopherus_evgoodei	22481	112314	0.200162
DIP2A	Lepidosauria	Squamata	Laticauda_laticaudata	7447	112314	0.0663052
DIP2A	Actinistia	Coelacanthiformes	Latimeria_chalumnae	8414	112314	0.074915
DIP2A	Aves	Galliformes	Meleagris_gallopavo	97694	112314	0.869829
DIP2A	Lepidosauria	Squamata	Naja_naja	7651	112314	0.0681215
DIP2A	Lepidosauria	Squamata	Notechis_scutatus	7745	112314	0.0689585
DIP2A	Aves	Passeriformes	Parus_major	54032	112314	0.48108
DIP2A	Reptilia	Testudines	Pelodiscus_sinensis	19007	112314	0.169231
DIP2A	Lepidosauria	Squamata	Podarcis_muralis	6412	112314	0.0570899
DIP2A	Lepidosauria	Squamata	Podarcis_raffonei	7185	112314	0.0639724
DIP2A	Lepidosauria	Squamata	Pogona_vitticeps_zw	8169	112314	0.0727336
DIP2A	Lepidosauria	Squamata	Pogona_vitticeps_zz	8366	112314	0.0744876
DIP2A	Lepidosauria	Squamata	Pseudonaja_textilis	7194	112314	0.0640526
DIP2A	Lepidosauria	Squamata	Rhineura_floridana	7382	112314	0.0657264
DIP2A	Lepidosauria	Squamata	Salvator_merianae	6854	112314	0.0610253
DIP2A	Aves	Passeriformes	Serinus_canaria	43641	112314	0.388562
DIP2A	Lepidosauria	Sphenodontia	Sphenodon_punctatus	6591	112314	0.0586837
DIP2A	Aves	Psittaciformes	Strigops_habroptila	65325	112314	0.581628
DIP2A	Aves	Struthioniformes	Struthio_camelus	80545	112314	0.717141
DIP2A	Aves	Passeriformes	Taeniopygia_guttata	52115	112314	0.464012
DIP2A	Reptilia	Testudines	Terrapene_carolina	33111	112314	0.294807
DLEU7	Aves	Anseriformes	Anas_platyrhynchos	8933	9441	0.946192
DLEU7	Lepidosauria	Squamata	Anolis_carolinensis	0	9441	0
DLEU7	Lepidosauria	Squamata	Anolis_sagrei	0	9441	0
DLEU7	Aves	Anseriformes	Anser_brachyrhynchus	8959	9441	0.948946
DLEU7	Aves	Accipitriformes	Aquila_chrysaetos	8959	9441	0.948946
DLEU7	Reptilia	Testudines	Chelonoidis_abingdonii	6705	9441	0.7102
DLEU7	Reptilia	Testudines	Chrysemys_picta	7150	9441	0.757335
DLEU7	Aves	Galliformes	Coturnix_japonica	9238	9441	0.978498
DLEU7	Reptilia	Crocodylia	Crocodylus_porosus	4665	9441	0.494121
DLEU7	Lepidosauria	Squamata	Eublepharis_macularius	47	9441	0.00497829
DLEU7	Lepidosauria	Squamata	Euleptes_europaea	0	9441	0
DLEU7	Aves	Passeriformes	Ficedula_albicollis	8388	9441	0.888465
DLEU7	Aves	Passeriformes	Geospiza_fortis	8436	9441	0.893549
DLEU7	Reptilia	Testudines	Gopherus_evgoodei	6674	9441	0.706917
DLEU7	Lepidosauria	Squamata	Laticauda_laticaudata	0	9441	0
DLEU7	Actinistia	Coelacanthiformes	Latimeria_chalumnae	0	9441	0
DLEU7	Aves	Galliformes	Meleagris_gallopavo	9345	9441	0.989832
DLEU7	Lepidosauria	Squamata	Naja_naja	0	9441	0
DLEU7	Lepidosauria	Squamata	Notechis_scutatus	0	9441	0
DLEU7	Aves	Passeriformes	Parus_major	8422	9441	0.892067
DLEU7	Reptilia	Testudines	Pelodiscus_sinensis	5227	9441	0.553649
DLEU7	Lepidosauria	Squamata	Podarcis_muralis	0	9441	0
DLEU7	Lepidosauria	Squamata	Podarcis_raffonei	0	9441	0
DLEU7	Lepidosauria	Squamata	Pogona_vitticeps_zw	79	9441	0.00836776
DLEU7	Lepidosauria	Squamata	Pogona_vitticeps_zz	79	9441	0.00836776
DLEU7	Lepidosauria	Squamata	Pseudonaja_textilis	0	9441	0
DLEU7	Lepidosauria	Squamata	Rhineura_floridana	0	9441	0
DLEU7	Lepidosauria	Squamata	Salvator_merianae	0	9441	0
DLEU7	Aves	Passeriformes	Serinus_canaria	8476	9441	0.897786
DLEU7	Lepidosauria	Sphenodontia	Sphenodon_punctatus	1856	9441	0.196589
DLEU7	Aves	Psittaciformes	Strigops_habroptila	8880	9441	0.940578
DLEU7	Aves	Struthioniformes	Struthio_camelus	8959	9441	0.948946
DLEU7	Aves	Passeriformes	Taeniopygia_guttata	8445	9441	0.894503
DLEU7	Reptilia	Testudines	Terrapene_carolina	7303	9441	0.773541
DNM3	Aves	Anseriformes	Anas_platyrhynchos	158046	166800	0.947518
DNM3	Lepidosauria	Squamata	Anolis_carolinensis	4468	166800	0.0267866
DNM3	Lepidosauria	Squamata	Anolis_sagrei	5611	166800	0.0336391
DNM3	Aves	Anseriformes	Anser_brachyrhynchus	159885	166800	0.958543
DNM3	Aves	Accipitriformes	Aquila_chrysaetos	156148	166800	0.936139
DNM3	Reptilia	Testudines	Chelonoidis_abingdonii	85610	166800	0.513249
DNM3	Reptilia	Testudines	Chrysemys_picta	82590	166800	0.495144
DNM3	Aves	Galliformes	Coturnix_japonica	152832	166800	0.916259
DNM3	Reptilia	Crocodylia	Crocodylus_porosus	80509	166800	0.482668
DNM3	Lepidosauria	Squamata	Eublepharis_macularius	7451	166800	0.0446703
DNM3	Lepidosauria	Squamata	Euleptes_europaea	6523	166800	0.0391067
DNM3	Aves	Passeriformes	Ficedula_albicollis	150172	166800	0.900312
DNM3	Aves	Passeriformes	Geospiza_fortis	150282	166800	0.900971
DNM3	Reptilia	Testudines	Gopherus_evgoodei	85056	166800	0.509928
DNM3	Lepidosauria	Squamata	Laticauda_laticaudata	4544	166800	0.0272422
DNM3	Actinistia	Coelacanthiformes	Latimeria_chalumnae	6407	166800	0.0384113
DNM3	Aves	Galliformes	Meleagris_gallopavo	162299	166800	0.973016
DNM3	Lepidosauria	Squamata	Naja_naja	4576	166800	0.0274341
DNM3	Lepidosauria	Squamata	Notechis_scutatus	4521	166800	0.0271043
DNM3	Aves	Passeriformes	Parus_major	148493	166800	0.890246
DNM3	Reptilia	Testudines	Pelodiscus_sinensis	53580	166800	0.321223
DNM3	Lepidosauria	Squamata	Podarcis_muralis	6276	166800	0.0376259
DNM3	Lepidosauria	Squamata	Podarcis_raffonei	7526	166800	0.0451199
DNM3	Lepidosauria	Squamata	Pogona_vitticeps_zw	6303	166800	0.0377878
DNM3	Lepidosauria	Squamata	Pogona_vitticeps_zz	6568	166800	0.0393765
DNM3	Lepidosauria	Squamata	Pseudonaja_textilis	4576	166800	0.0274341
DNM3	Lepidosauria	Squamata	Rhineura_floridana	6886	166800	0.041283
DNM3	Lepidosauria	Squamata	Salvator_merianae	4694	166800	0.0281415
DNM3	Aves	Passeriformes	Serinus_canaria	150561	166800	0.902644
DNM3	Lepidosauria	Sphenodontia	Sphenodon_punctatus	33183	166800	0.198939
DNM3	Aves	Psittaciformes	Strigops_habroptila	152960	166800	0.917026
DNM3	Aves	Struthioniformes	Struthio_camelus	156610	166800	0.938909
DNM3	Aves	Passeriformes	Taeniopygia_guttata	150582	166800	0.90277
DNM3	Reptilia	Testudines	Terrapene_carolina	86761	166800	0.52015
ELOVL3	Aves	Anseriformes	Anas_platyrhynchos	4186	4396	0.952229
ELOVL3	Lepidosauria	Squamata	Anolis_carolinensis	656	4396	0.149227
ELOVL3	Lepidosauria	Squamata	Anolis_sagrei	682	4396	0.155141
ELOVL3	Aves	Anseriformes	Anser_brachyrhynchus	4166	4396	0.94768
ELOVL3	Aves	Accipitriformes	Aquila_chrysaetos	2960	4396	0.673339
ELOVL3	Reptilia	Testudines	Chelonoidis_abingdonii	1160	4396	0.263876
ELOVL3	Reptilia	Testudines	Chrysemys_picta	1205	4396	0.274113
ELOVL3	Aves	Galliformes	Coturnix_japonica	4396	4396	1
ELOVL3	Reptilia	Crocodylia	Crocodylus_porosus	592	4396	0.134668
ELOVL3	Lepidosauria	Squamata	Eublepharis_macularius	939	4396	0.213603
ELOVL3	Lepidosauria	Squamata	Euleptes_europaea	1066	4396	0.242493
ELOVL3	Aves	Passeriformes	Ficedula_albicollis	2216	4396	0.504095
ELOVL3	Aves	Passeriformes	Geospiza_fortis	2691	4396	0.612147
ELOVL3	Reptilia	Testudines	Gopherus_evgoodei	1286	4396	0.292539
ELOVL3	Lepidosauria	Squamata	Laticauda_laticaudata	716	4396	0.162875
ELOVL3	Actinistia	Coelacanthiformes	Latimeria_chalumnae	885	4396	0.201319
ELOVL3	Aves	Galliformes	Meleagris_gallopavo	4396	4396	1
ELOVL3	Lepidosauria	Squamata	Naja_naja	562	4396	0.127843
ELOVL3	Lepidosauria	Squamata	Notechis_scutatus	562	4396	0.127843
ELOVL3	Aves	Passeriformes	Parus_major	2105	4396	0.478844
ELOVL3	Reptilia	Testudines	Pelodiscus_sinensis	830	4396	0.188808
ELOVL3	Lepidosauria	Squamata	Podarcis_muralis	1525	4396	0.346906
ELOVL3	Lepidosauria	Squamata	Podarcis_raffonei	842	4396	0.191538
ELOVL3	Lepidosauria	Squamata	Pogona_vitticeps_zw	878	4396	0.199727
ELOVL3	Lepidosauria	Squamata	Pogona_vitticeps_zz	921	4396	0.209509
ELOVL3	Lepidosauria	Squamata	Pseudonaja_textilis	716	4396	0.162875
ELOVL3	Lepidosauria	Squamata	Rhineura_floridana	824	4396	0.187443
ELOVL3	Lepidosauria	Squamata	Salvator_merianae	738	4396	0.16788
ELOVL3	Aves	Passeriformes	Serinus_canaria	2732	4396	0.621474
ELOVL3	Lepidosauria	Sphenodontia	Sphenodon_punctatus	855	4396	0.194495
ELOVL3	Aves	Psittaciformes	Strigops_habroptila	856	4396	0.194722
ELOVL3	Aves	Struthioniformes	Struthio_camelus	2177	4396	0.495223
ELOVL3	Aves	Passeriformes	Taeniopygia_guttata	1030	4396	0.234304
ELOVL3	Reptilia	Testudines	Terrapene_carolina	1221	4396	0.277753
FREM2	Aves	Anseriformes	Anas_platyrhynchos	104590	122068	0.856818
FREM2	Lepidosauria	Squamata	Anolis_carolinensis	10286	122068	0.0842645
FREM2	Lepidosauria	Squamata	Anolis_sagrei	10537	122068	0.0863207
FREM2	Aves	Anseriformes	Anser_brachyrhynchus	106322	122068	0.871006
FREM2	Aves	Accipitriformes	Aquila_chrysaetos	106793	122068	0.874865
FREM2	Reptilia	Testudines	Chelonoidis_abingdonii	47888	122068	0.392306
FREM2	Reptilia	Testudines	Chrysemys_picta	50110	122068	0.410509
FREM2	Aves	Galliformes	Coturnix_japonica	101479	122068	0.831332
