Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	left_gene
ARL11	Actinistia	Coelacanthiformes	Latimeria_chalumnae	1908	20725	0.0920627 RCBTB1	RCBTB1
ARL11	Aves	Galliformes	Meleagris_gallopavo	20725	20725	1 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Naja_naja	2008	20725	0.0968878 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Notechis_scutatus	1841	20725	0.0888299 RCBTB1	RCBTB1
ARL11	Aves	Passeriformes	Parus_major	19591	20725	0.945283 RCBTB1	RCBTB1
ARL11	Reptilia	Testudines	Pelodiscus_sinensis	5032	20725	0.242799 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Podarcis_muralis	2486	20725	0.119952 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Podarcis_raffonei	2545	20725	0.122799 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Pogona_vitticeps_zw	2368	20725	0.114258 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Pogona_vitticeps_zz	2368	20725	0.114258 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Pseudonaja_textilis	1987	20725	0.0958745 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Rhineura_floridana	2657	20725	0.128203 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Salvator_merianae	2084	20725	0.100555 RCBTB1	RCBTB1
ARL11	Aves	Passeriformes	Serinus_canaria	19296	20725	0.931049 RCBTB1	RCBTB1
ARL11	Lepidosauria	Sphenodontia	Sphenodon_punctatus	2341	20725	0.112955 RCBTB1	RCBTB1
ARL11	Aves	Psittaciformes	Strigops_habroptila	19154	20725	0.924198 RCBTB1	RCBTB1
ARL11	Aves	Struthioniformes	Struthio_camelus	19592	20725	0.945332 RCBTB1	RCBTB1
ARL11	Aves	Passeriformes	Taeniopygia_guttata	19467	20725	0.9393 RCBTB1	RCBTB1
ARL11	Reptilia	Testudines	Terrapene_carolina	5779	20725	0.278842 RCBTB1	RCBTB1
C11orf74	Aves	Anseriformes	Anas_platyrhynchos	500458	565727	0.884628 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Anolis_carolinensis	32203	565727	0.0569232 RAG2	RAG2
C11orf74	Lepidosauria	Squamata	Anolis_sagrei	43635	565727	0.0771308 RAG2	RAG2
C11orf74	Aves	Anseriformes	Anser_brachyrhynchus	506134	565727	0.894661 RAG2	RAG2
C11orf74	Aves	Accipitriformes	Aquila_chrysaetos	511123	565727	0.90348 RAG2	RAG2
