Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	right_gene
C11orf74	Lepidosauria	Squamata	Pogona_vitticeps_zw	30339	494469	0.0613567 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Pogona_vitticeps_zz	34368	494469	0.0695049 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Pseudonaja_textilis	18681	494469	0.0377799 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Rhineura_floridana	41755	494469	0.0844441 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Salvator_merianae	24380	494469	0.0493054 LRRC4C	LRRC4C
C11orf74	Aves	Passeriformes	Serinus_canaria	400144	494469	0.80924 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Sphenodontia	Sphenodon_punctatus	72125	494469	0.145864 LRRC4C	LRRC4C
C11orf74	Aves	Psittaciformes	Strigops_habroptila	380531	494469	0.769575 LRRC4C	LRRC4C
C11orf74	Aves	Struthioniformes	Struthio_camelus	418348	494469	0.846055 LRRC4C	LRRC4C
C11orf74	Aves	Passeriformes	Taeniopygia_guttata	390002	494469	0.788729 LRRC4C	LRRC4C
C11orf74	Reptilia	Testudines	Terrapene_carolina	183450	494469	0.371004 LRRC4C	LRRC4C
CAV3	Aves	Anseriformes	Anas_platyrhynchos	3711	4584	0.809555 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Anolis_carolinensis	1205	4584	0.262871 OXTR	OXTR
CAV3	Lepidosauria	Squamata	Anolis_sagrei	1190	4584	0.259599 OXTR	OXTR
CAV3	Aves	Anseriformes	Anser_brachyrhynchus	4544	4584	0.991274 OXTR	OXTR
CAV3	Aves	Accipitriformes	Aquila_chrysaetos	4277	4584	0.933028 OXTR	OXTR
CAV3	Reptilia	Testudines	Chelonoidis_abingdonii	1724	4584	0.376091 OXTR	OXTR
CAV3	Reptilia	Testudines	Chrysemys_picta	1708	4584	0.3726 OXTR	OXTR
CAV3	Aves	Galliformes	Coturnix_japonica	4584	4584	1 OXTR	OXTR
