focal_gene	species_name	class	order	Left	Focal	Right
CAV3	Anas_platyrhynchos	Aves	Anseriformes	1	1	1
CAV3	Anolis_carolinensis	Lepidosauria	Squamata	0.962037	0.993377	0.99318
CAV3	Anolis_sagrei	Lepidosauria	Squamata	0.962037	0.933775	0.99318
CAV3	Anser_brachyrhynchus	Aves	Anseriformes	1	1	1
CAV3	Aquila_chrysaetos	Aves	Accipitriformes	1	1	1
CAV3	Chelonoidis_abingdonii	Reptilia	Testudines	0.975	1	1
CAV3	Chrysemys_picta	Reptilia	Testudines	0.975	1	1
CAV3	Coturnix_japonica	Aves	Galliformes	1	1	1
CAV3	Crocodylus_porosus	Reptilia	Crocodylia	0.975	1	1
CAV3	Eublepharis_macularius	Lepidosauria	Squamata	0.944444	0.907285	0.995737
CAV3	Euleptes_europaea	Lepidosauria	Squamata	0.975	1	1
CAV3	Ficedula_albicollis	Aves	Passeriformes	0.937037	1	1
CAV3	Geospiza_fortis	Aves	Passeriformes	0.975	1	1
CAV3	Gopherus_evgoodei	Reptilia	Testudines	0.975	1	1
CAV3	Laticauda_laticaudata	Lepidosauria	Squamata	0.897222	0.993377	0.957374
CAV3	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.90463	1	0.960784
CAV3	Meleagris_gallopavo	Aves	Galliformes	0.975	1	1
CAV3	Naja_naja	Lepidosauria	Squamata	0.897222	0.993377	0.904518
CAV3	Notechis_scutatus	Lepidosauria	Squamata	0.975	0.993377	0.957374
CAV3	Parus_major	Aves	Passeriformes	0.975	1	1
CAV3	Pelodiscus_sinensis	Reptilia	Testudines	0.975	1	1
CAV3	Podarcis_muralis	Lepidosauria	Squamata	0.964815	0.935982	0.99318
CAV3	Podarcis_raffonei	Lepidosauria	Squamata	0.897222	0.935982	0.99318
CAV3	Pogona_vitticeps_zw	Lepidosauria	Squamata	0.897222	0.993377	0.960784
CAV3	Pogona_vitticeps_zz	Lepidosauria	Squamata	0.897222	0.993377	0.960784
CAV3	Pseudonaja_textilis	Lepidosauria	Squamata	0.975	0.993377	0.957374
CAV3	Rhineura_floridana	Lepidosauria	Squamata	0.897222	0.99117	1
CAV3	Salvator_merianae	Lepidosauria	Squamata	0.960185	0.993377	1
CAV3	Serinus_canaria	Aves	Passeriformes	0.975	1	1
CAV3	Sphenodon_punctatus	Lepidosauria	Sphenodontia	0.975	1	1
CAV3	Strigops_habroptila	Aves	Psittaciformes	1	1	1
CAV3	Struthio_camelus	Aves	Struthioniformes	0.975	0.748344	1
CAV3	Taeniopygia_guttata	Aves	Passeriformes	0.975	1	1
CAV3	Terrapene_carolina	Reptilia	Testudines	0.975	1	1
CYYR1	Anas_platyrhynchos	Aves	Anseriformes	1	0.949686	1
CYYR1	Anolis_carolinensis	Lepidosauria	Squamata	0.9747	0	1
CYYR1	Anolis_sagrei	Lepidosauria	Squamata	0.9747	0.534591	1
CYYR1	Anser_brachyrhynchus	Aves	Anseriformes	1	1	1
CYYR1	Aquila_chrysaetos	Aves	Accipitriformes	1	1	1
CYYR1	Chelonoidis_abingdonii	Reptilia	Testudines	0.9747	0.828092	1
CYYR1	Chrysemys_picta	Reptilia	Testudines	1	0.828092	1
CYYR1	Coturnix_japonica	Aves	Galliformes	1	1	1
CYYR1	Crocodylus_porosus	Reptilia	Crocodylia	0.9747	0	1
CYYR1	Eublepharis_macularius	Lepidosauria	Squamata	1	0	0.972494
CYYR1	Euleptes_europaea	Lepidosauria	Squamata	1	0.222222	1
CYYR1	Ficedula_albicollis	Aves	Passeriformes	0.9747	0.828092	0.806732
CYYR1	Geospiza_fortis	Aves	Passeriformes	1	0.828092	0.960912
CYYR1	Gopherus_evgoodei	Reptilia	Testudines	0.9747	0.828092	1
CYYR1	Laticauda_laticaudata	Lepidosauria	Squamata	0.9747	0	1
