Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN	
Mammalia	Rodentia	Rattus_norvegicus	Rattus_norvegicus	48202	51122	175563	277870	618507	564	125005	227312	567949	120789	223096	563733	100008	440645	338287	
Aves	Rheiformes	Rhea_pennata	Rhea_pennata	20181	22949	77402	180760	332679	418	54871	158229	310148	50801	154159	306078	101137	253056	149578	
	Gymnophiona	Rhinatrema_bivittatum	Rhinatrema_bivittatum	300334	303105	27759122	28357349	30192504	418	27456435	28054662	29889817	27452365	28050592	29885747	596174	2431329	1832808	
Lepidosauria	Squamata	Rhineura_floridana	Rhineura_floridana	70448	73972	220609	384861	813393	1165	147802	312054	740586	142985	307237	735769	161983	590515	426185	
Mammalia	Chiroptera	Rhinolophus_ferrumequinum	Rhinolophus_ferrumequinum	36840	39791	157680	257299	549459	583	118472	218091	510251	114237	213856	506016	97179	389339	289810	
Mammalia	Primates	Rhinopithecus_roxellana	Rhinopithecus_roxellana	63963	66790	225739	343575	729735	459	159408	277244	663404	155297	273133	659293	115594	501754	383813	
Aves	Charadriiformes	Rissa_tridactyla	Rissa_tridactyla	18862	21629	79134	151707	347040	423	57928	130501	325834	53853	126426	321759	70343	265676	192992	
Mammalia	Chiroptera	Saccopteryx_bilineata	Saccopteryx_bilineata	52022	54849	202812	303495	663288	462	148425	249108	608901	144311	244994	604787	98465	458258	357443	
Mammalia	Chiroptera	Saccopteryx_leptura	Saccopteryx_leptura	46581	49408	200749	304960	693178	462	151803	256014	644232	147689	251900	640118	101987	490205	385868	
Mammalia	Dasyuromorphia	Sarcophilus_harrisii	Sarcophilus_harrisii	47868	50873	234763	345078	747038	868	184758	295073	697033	180238	290553	692513	108091	510051	399622	
Mammalia	Rodentia	Sciurus_carolinensis	Sciurus_carolinensis	39252	42081	184914	289048	643957	473	143306	247440	602349	139181	243315	598224	101877	456786	352547	
Chondrichthyes		Scyliorhinus_canicula	Scyliorhinus_canicula	464284	508886	1271620	1804299	2189759	42237	804971	1337650	2657386	759082	1291761	2701988	530179	3464722	3997401	
Mammalia	Eulipotyphla	Sorex_araneus	Sorex_araneus	32926	35754	149903	201168	477129	472	114621	165886	441847	110497	161762	437723	48843	324804	273614	
Amphibia	Anura	Spea_bombifrons	Spea_bombifrons	14182	16879	62331	77207	288443	443	45895	60771	272007	41800	56676	267912	12694	223930	208916	
Lepidosauria	Squamata	Sphaerodactylus_townsendi	Sphaerodactylus_townsendi	40365	43250	153923	262929	439793	535	111208	220214	397078	107021	216027	392891	106866	283730	174511	
Aves	Psittaciformes	Strigops_habroptila	Strigops_habroptila	20754	23577	81093	145450	253935	392	57908	122265	230750	53990	118347	226832	63495	171980	105937	
Aves	Struthioniformes	Struthio_camelus	Struthio_camelus	21511	24300	96246	210011	378887	430	72376	186141	355017	68294	182059	350935	111535	280411	166490	
Mammalia	Eulipotyphla	Suncus_etruscus	Suncus_etruscus	41807	48276	184342	245399	502200	4083	140149	201206	458007	132414	193471	450272	58812	315613	254454	
Mammalia	Carnivora	Suricata_suricatta	Suricata_suricatta	39903	42768	173257	273497	682574	512	131001	231241	640318	126837	227077	636154	98268	507345	406727	
Mammalia	Artiodactyla	Sus_scrofa	Sus_scrofa	46646	49511	204631	313150	816432	497	155617	264136	767418	151468	259987	763269	106367	609649	500932	
Mammalia	Primates	Symphalangus_syndactylus	Symphalangus_syndactylus	60800	63455	219422	334464	829825	452	156419	271461	766822	152315	267357	762718	112731	608092	493014	
Mammalia	Monotremata	Tachyglossus_aculeatus	Tachyglossus_aculeatus	59208	62251	211524	400009	713250	684	149957	338442	651683	145621	334106	647347	186240	499481	310888	
Lepidosauria	Squamata	Thamnophis_elegans	Thamnophis_elegans	33054	35601	136113	180068	436867	257	100769	144724	401523	96860	140815	397614	41827	298626	254434	
Mammalia	Primates	Theropithecus_gelada	Theropithecus_gelada	65998	68951	229064	351486	766366	588	160701	283123	698003	156461	278883	693763	120189	535069	413235	
Mammalia	Diprotodontia	Trichosurus_vulpecula	Trichosurus_vulpecula	64121	67179	256781	396963	854631	699	190301	330483	788151	185950	326132	783800	138105	595773	455330	
Mammalia	Artiodactyla	Tursiops_truncatus	Tursiops_truncatus	40067	42911	172770	271949	809278	476	130335	229514	766843	126207	225386	762715	96928	634257	534934	
Mammalia	Carnivora	Vulpes_lagopus	Vulpes_lagopus	38456	41232	190847	292724	616859	474	150089	251966	576101	145963	247840	571975	99764	423899	321785	
Amphibia	Anura	Xenopus_tropicalis	Xenopus_tropicalis	42797	45639	233088	345676	480306	705	188154	300742	435372	183797	296385	431015	110373	245003	132283	
Mammalia	Carnivora	Zalophus_californianus	Zalophus_californianus	38470	41300	166616	274380	608147	465	125781	233545	567312	121664	229428	563195	105321	439088	331315	
Lepidosauria	Squamata	Zootoca_vivipara	Zootoca_vivipara	31798	35384	132995	214343	376894	1227	98838	180186	342737	93959	175307	337858	79145	241696	160192	
