Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN	
Mammalia	Perissodactyla	Equus_asinus	Equus_asinus	37903	40714	179185	284972	612845	443	138914	244701	572574	134819	240606	568479	103557	431430	325523	
Mammalia	Perissodactyla	Equus_caballus	Equus_caballus	37508	40319	178595	284117	620697	443	138719	244241	580821	134624	240146	576726	103292	439872	334230	
Mammalia	Perissodactyla	Equus_przewalskii	Equus_przewalskii	37920	40731	178948	284431	611913	443	138660	244143	571625	134565	240048	567530	103253	430735	325078	
Mammalia	Perissodactyla	Equus_quagga	Equus_quagga	37908	40719	179443	285457	613116	443	139167	245181	572840	135072	241086	568745	103775	431434	325255	
Mammalia	Eulipotyphla	Erinaceus_europaeus	Erinaceus_europaeus	65556	68160	243389	370125	845063	458	175687	302423	777361	171577	298313	773251	124593	599531	472588	
Cladistia	Polypteriformes	Erpetoichthys_calabaricus	Erpetoichthys_calabaricus	69968	78522	35817761	36050447	14827545	6261	35745500	35978186	14755284	35735587	35968273	14745371	230375	20980111	21212797	
Lepidosauria	Squamata	Erythrolamprus_reginae	Erythrolamprus_reginae	35929	38465	129325	163206	323714	246	91106	124987	285495	87208	121089	281597	31747	192255	158134	
Mammalia	Artiodactyla	Eschrichtius_robustus	Eschrichtius_robustus	39599	42436	179407	278915	728805	469	137440	236948	686838	133319	232827	682717	97266	547156	447540	
Mammalia	Artiodactyla	Eubalaena_glacialis	Eubalaena_glacialis	36208	39047	176397	276573	756570	471	137821	237997	717994	133698	233874	713871	97934	577931	477602	
Lepidosauria	Squamata	Eublepharis_macularius	Eublepharis_macularius	3574570	3577450	3704008	3831454	4044444	551	127109	254555	467545	122906	250352	463342	125246	338236	210640	
Mammalia	Primates	Eulemur_rufifrons	Eulemur_rufifrons	36636	41690	155689	262250	560649	3112	117111	223672	522071	110347	216908	515307	103968	402367	296049	
Lepidosauria	Squamata	Euleptes_europaea	Euleptes_europaea	51037	55566	178397	328563	536470	2221	125052	275218	483125	119179	269345	477252	147966	355873	205557	
	Falconiformes	Falco_rusticolus	Falco_rusticolus	19506	22067	74670	140975	147532	613	53216	119521	126078	48951	115256	121813	64075	70632	4222	
Mammalia	Carnivora	Felis_catus	Felis_catus	37230	40045	198755	301063	668390	450	159160	261468	628795	155058	257366	624693	100198	467525	364977	
