Species	PUM1-SDC3	PUM1-MATN1	PUM1-PTPRU	SDC3-MATN1	SDC3-PTPRU	MATN1-PTPRU	
Pan_paniscus	24668	212518	1611304	152007	1550793	1388815	
Panthera_leo	20379	175865	1226152	131456	1181743	1041231	
Panthera_onca	36875	167560	1109987	127448	1069875	934939	
Panthera_tigris	12441	175353	1221951	131094	1177692	1037637	
Panthera_uncia	43268	178607	1228407	129815	1179615	1038207	
Pan_troglodytes	24693	211654	1606623	151134	1546103	1385009	
Papio_anubis	54119	218388	1598591	158555	1538758	1370318	
Parus_major	55855	166924	500227	86328	419631	318874	
Passer_domesticus	7886	178680	639498	129905	590723	441443	
Patagioenas_fasciata	4748	184654	510947	151778	478071	312768	
Pelobates_fuscus	4953949	3228703	2719927	1709213	2165625	440379	
Perognathus_longimembris	9315	139146	801590	98199	760643	655376	
Peromyscus_eremicus	12824	162504	988412	120707	946615	816623	
Peromyscus_leucopus	12886	164195	960756	125484	922045	787781	
Peromyscus_maniculatus	32755	165765	963182	124436	921853	788556	
Phacochoerus_africanus	15749	197719	1328273	148093	1278647	1122547	
Phaenicophaeus_curvirostris	40244	319686	949147	268130	897591	610776	
Phocoena_phocoena	13555	184597	1504515	137063	1456981	1312079	
Phocoena_sinus	13531	184792	1495140	137045	1447393	1302534	
Phyllostomus_discolor	12399	170030	925079	124875	879924	745842	
Piliocolobus_tephrosceles	56073	211715	5190323	151603	5381244	5536886	
Pithys_albifrons	9211	316921	888357	247258	818694	543148	
Pleurodeles_waltl	417369	137024353	151462133	136133317	150571097	14375647	
Podarcis_muralis	22514	178803	912171	51301	784669	716494	
Podarcis_raffonei	22076	191563	849424	57177	715038	639633	
Poecile_atricapillus	5008	101684	411257	62000	371573	293459	
Pogoniulus_pusillus	10113	457534	1343672	370813	1256951	858088	
Pongo_abelii	24736	211937	1628091	150896	1567050	1404097	
Pongo_pygmaeus	25536	213121	1631589	151240	1569708	1408549	
Prinia_subflava	6309	169387	630378	124103	585094	438423	
Prionailurus_bengalensis	11147	175033	1243130	132020	1200117	1051804	
Protopterus_annectens	729856	11077912	98330901	8635214	95888203	87089067	
Pseudophryne_corroboree	8414048	6563692	5540702	1837948	2587120	736764	
Pseudopipra_pipra	7692	284566	786398	232245	734077	475917	
Pseudorca_crassidens	13793	185368	1416076	137452	1368160	1222836	
Ranitomeya_imitator	26152713	21077638	19728972	5056914	6115309	1040234	
Rattus_norvegicus	13011	164757	998871	122526	956640	825361	
Rhea_pennata	6397	281489	860907	250406	829824	555933	
Rhinatrema_bivittatum	44054	421494	1209774	180957	969237	748672	
Rhineura_floridana	23719	176857	1077953	43843	944939	873652	
Rhinolophus_ferrumequinum	12788	186527	1019120	139433	972026	823312	
Rhinopithecus_roxellana	24443	215298	1642477	151465	1578644	1417263	
Rissa_tridactyla	8751	308616	929722	253880	874986	598453	
Saccopteryx_bilineata	9681	179816	1013853	133081	967118	825439	
Saccopteryx_leptura	12203	182502	1032039	135449	984986	840912	
Sarcophilus_harrisii	53922	322729	1690350	201763	1569384	1344146	
Sciurus_carolinensis	10065	154943	1092298	115435	1052790	928525	
Serinus_canaria	7252	106302	464136	64923	422757	334521	
Sorex_araneus	11840	195006	1097278	149049	1051321	893775	
Spea_bombifrons	6259663	6579806	6674288	272656	367138	85332	
Sphaerodactylus_townsendi	10519	207689	1186876	65534	1044721	938816	
Strigops_habroptila	5157	263606	767660	219042	723096	484186	
Struthio_camelus	8201	306437	891268	255567	840398	562822	
Suncus_etruscus	12233	230542	1223561	182992	1176011	984330	
Suricata_suricatta	37034	178384	1179317	134577	1135510	991808	
Sus_scrofa	12441	196828	1321139	147569	1271880	1115482	
Sylvia_atricapilla	5902	165610	583889	120935	539214	401717	
Tachyglossus_aculeatus	10225	65373	94734	31093	60454	15277	
Taeniopygia_guttata	6129	186019	656921	135839	606741	451042	
Thamnophis_elegans	23021	162450	927458	25549	790557	738186	
Theropithecus_gelada	24656	210248	1600777	149938	1540467	1380627	
Trachemys_scripta	23513	612381	1676632	404411	1468662	1029052	
Trichosurus_vulpecula	71379	336137	1773332	195998	1633193	1405541	
Tursiops_truncatus	13577	184899	1397218	137200	1349519	1204486	
Ursus_arctos	12309	177517	1218213	132379	1173075	1032173	
Vidua_chalybeata	6356	182029	662264	130043	610278	460468	
Vidua_macroura	7451	180396	653073	129528	602205	436565	
Vulpes_lagopus	12377	182676	1257161	137956	1212441	1065836	
Xenopus_tropicalis	3576253	3883981	3976060	261115	353194	83049	
Zalophus_californianus	10697	175183	1305982	130777	1261576	1121280	
Zonotrichia_leucophrys	7050	196304	724302	148998	676996	506234	
Zootoca_vivipara	22952	174004	805274	54386	685656	609938	
