Order	Species_name	Num_Gaps	PUM1_SDC3	PUM1_MATN1	PUM1_PTPRU	SDC3_MATN1	SDC3_PTPRU	MATN1_PTPRU
Rodentia	Perognathus_longimembris	0	9315	139146	801590	98199	760643	655376
Rodentia	Peromyscus_eremicus	4	12824	162504	988412	120707	946615	816623
Rodentia	Peromyscus_leucopus	0	12886	164195	960756	125484	922045	787781
Rodentia	Peromyscus_maniculatus	51	32755	165765	963182	124436	921853	788556
Artiodactyla	Phacochoerus_africanus	0	15749	197719	1328273	148093	1278647	1122547
Cuculiformes	Phaenicophaeus_curvirostris	0	40244	319686	949147	268130	897591	610776
Artiodactyla	Phocoena_phocoena	0	13555	184597	1504515	137063	1456981	1312079
Artiodactyla	Phocoena_sinus	1	13531	184792	1495140	137045	1447393	1302534
Chiroptera	Phyllostomus_discolor	0	12399	170030	925079	124875	879924	745842
Primates	Piliocolobus_tephrosceles	114	56073	211715	5190323	151603	5381244	5536886
Passeriformes	Pithys_albifrons	2	9211	316921	888357	247258	818694	543148
Caudata	Pleurodeles_waltl	0	417369	137024353	151462133	136133317	150571097	14375647
Squamata	Podarcis_muralis	3	22514	178803	912171	51301	784669	716494
Squamata	Podarcis_raffonei	0	22076	191563	849424	57177	715038	639633
Passeriformes	Poecile_atricapillus	0	5008	101684	411257	62000	371573	293459
Piciformes	Pogoniulus_pusillus	0	10113	457534	1343672	370813	1256951	858088
Primates	Pongo_abelii	0	24736	211937	1628091	150896	1567050	1404097
Primates	Pongo_pygmaeus	0	25536	213121	1631589	151240	1569708	1408549
Passeriformes	Prinia_subflava	0	6309	169387	630378	124103	585094	438423
Carnivora	Prionailurus_bengalensis	0	11147	175033	1243130	132020	1200117	1051804
Anura	Pseudophryne_corroboree	3	8414048	6563692	5540702	1837948	2587120	736764
Passeriformes	Pseudopipra_pipra	1	7692	284566	786398	232245	734077	475917
Artiodactyla	Pseudorca_crassidens	0	13793	185368	1416076	137452	1368160	1222836
Anura	Ranitomeya_imitator	1	26152713	21077638	19728972	5056914	6115309	1040234
Rodentia	Rattus_norvegicus	0	13011	164757	998871	122526	956640	825361
Rheiformes	Rhea_pennata	1	6397	281489	860907	250406	829824	555933
Gymnophiona	Rhinatrema_bivittatum	0	44054	421494	1209774	180957	969237	748672
Squamata	Rhineura_floridana	1	23719	176857	1077953	43843	944939	873652
Chiroptera	Rhinolophus_ferrumequinum	0	12788	186527	1019120	139433	972026	823312
Primates	Rhinopithecus_roxellana	1	24443	215298	1642477	151465	1578644	1417263
Charadriiformes	Rissa_tridactyla	0	8751	308616	929722	253880	874986	598453
Chiroptera	Saccopteryx_bilineata	0	9681	179816	1013853	133081	967118	825439
Chiroptera	Saccopteryx_leptura	1	12203	182502	1032039	135449	984986	840912
Dasyuromorphia	Sarcophilus_harrisii	0	53922	322729	1690350	201763	1569384	1344146
Rodentia	Sciurus_carolinensis	0	10065	154943	1092298	115435	1052790	928525
Passeriformes	Serinus_canaria	2	7252	106302	464136	64923	422757	334521
Eulipotyphla	Sorex_araneus	3	11840	195006	1097278	149049	1051321	893775
Anura	Spea_bombifrons	0	6259663	6579806	6674288	272656	367138	85332
Squamata	Sphaerodactylus_townsendi	0	10519	207689	1186876	65534	1044721	938816
Psittaciformes	Strigops_habroptila	0	5157	263606	767660	219042	723096	484186
Struthioniformes	Struthio_camelus	0	8201	306437	891268	255567	840398	562822
Eulipotyphla	Suncus_etruscus	0	12233	230542	1223561	182992	1176011	984330
Carnivora	Suricata_suricatta	46	37034	178384	1179317	134577	1135510	991808
Artiodactyla	Sus_scrofa	0	12441	196828	1321139	147569	1271880	1115482
Passeriformes	Sylvia_atricapilla	1	5902	165610	583889	120935	539214	401717
Monotremata	Tachyglossus_aculeatus	0	10225	65373	94734	31093	60454	15277
Passeriformes	Taeniopygia_guttata	0	6129	186019	656921	135839	606741	451042
Squamata	Thamnophis_elegans	1	23021	162450	927458	25549	790557	738186
Primates	Theropithecus_gelada	14	24656	210248	1600777	149938	1540467	1380627
Diprotodontia	Trichosurus_vulpecula	3	71379	336137	1773332	195998	1633193	1405541
Artiodactyla	Tursiops_truncatus	0	13577	184899	1397218	137200	1349519	1204486
Carnivora	Ursus_arctos	0	12309	177517	1218213	132379	1173075	1032173
Passeriformes	Vidua_chalybeata	3	6356	182029	662264	130043	610278	460468
Passeriformes	Vidua_macroura	0	7451	180396	653073	129528	602205	436565
Carnivora	Vulpes_lagopus	0	12377	182676	1257161	137956	1212441	1065836
Anura	Xenopus_tropicalis	0	3576253	3883981	3976060	261115	353194	83049
Carnivora	Zalophus_californianus	0	10697	175183	1305982	130777	1261576	1121280
Passeriformes	Zonotrichia_leucophrys	0	7050	196304	724302	148998	676996	506234
Squamata	Zootoca_vivipara	1	22952	174004	805274	54386	685656	609938
