Order	Species_name	Num_Gaps	PUM1_SDC3	PUM1_MATN1	PUM1_PTPRU	SDC3_MATN1	SDC3_PTPRU	MATN1_PTPRU	Gene_status
Primates	Macaca_thibetana	0	53980	211170	1579627	151473	1519930	1358540	Intact
Pholidota	Manis_pentadactyla	0	11419	167888	1272701	124275	1229088	1095804	Intact
Rodentia	Marmota_flaviventris	0	11287	153584	1033354	111510	991280	873034	Intact
Rodentia	Mastomys_coucha	74	12916	178059	1042114	135349	999404	848781	Intact
Carnivora	Meles_meles	0	14442	174946	1291537	127165	1243756	1108034	Intact
Rodentia	Meriones_unguiculatus	0	12270	142335	901803	102570	862038	751173	Intact
Artiodactyla	Mesoplodon_densirostris	0	43145	190133	1437179	143052	1390098	1239235	Intact
Primates	Microcebus_murinus	13	53655	191658	1263142	134261	1205745	1063823	Intact
Rodentia	Microtus_ochrogaster	89	10705	158441	956653	115639	913851	788701	Intact
Didelphimorphia	Monodelphis_domestica	1	59042	319662	1870952	198823	1750113	1519021	Intact
Artiodactyla	Muntiacus_reevesi	0	13892	196915	1505587	146127	1454799	1299344	Intact
Rodentia	Mus_caroli	71	12320	161016	987304	119108	945396	817534	Intact
Rodentia	Mus_musculus	0	12768	164521	989595	121615	946689	814482	Intact
Rodentia	Mus_pahari	98	11359	158262	1030391	117319	989448	863853	Intact
Carnivora	Mustela_erminea	0	13991	177179	1239047	129767	1191635	1053324	Intact
Carnivora	Mustela_lutreola	0	14079	178744	1239633	130839	1191728	1052398	Intact
Carnivora	Mustela_nigripes	17	14289	169546	1245895	121487	1197836	1058913	Intact
Chiroptera	Myotis_daubentonii	0	13792	168077	859792	121174	812889	682758	Intact
Carnivora	Neofelis_nebulosa	0	12149	175663	1240953	131229	1196519	1056849	Intact
Carnivora	Neogale_vison	0	44530	180304	1229625	132124	1181445	1040772	Intact
Carnivora	Neomonachus_schauinslandi	19	43129	181643	1250556	133015	1201928	1059920	Intact
Primates	Nycticebus_coucang	0	26616	205172	1397209	144279	1336316	1182179	Intact
Lagomorpha	Ochotona_princeps	0	8914	177327	1031012	138889	992574	846257	Intact
Artiodactyla	Odocoileus_virginianus	0	10024	194389	1516180	146031	1467822	1312502	Intact
Rodentia	Onychomys_torridus	0	12648	161655	978063	120278	936686	807612	Intact
Artiodactyla	Orcinus_orca	0	13547	187190	1403720	139926	1356456	1208686	Intact
Monotremata	Ornithorhynchus_anatinus	0	8538	65756	87784	34288	56316	13143	Intact
Lagomorpha	Oryctolagus_cuniculus	1	11296	181502	1010107	138213	966818	822018	Intact
Artiodactyla	Ovis_aries	0	14698	205302	1588119	156087	1538904	1373907	Intact
Artiodactyla	Ovis_canadensis	0	11466	205306	1587028	156017	1537739	1372675	Intact
Primates	Pan_paniscus	0	24668	212518	1611304	152007	1550793	1388815	Intact
Carnivora	Panthera_leo	0	20379	175865	1226152	131456	1181743	1041231	Intact
Carnivora	Panthera_onca	0	36875	167560	1109987	127448	1069875	934939	Intact
Carnivora	Panthera_tigris	0	12441	175353	1221951	131094	1177692	1037637	Intact
Carnivora	Panthera_uncia	29	43268	178607	1228407	129815	1179615	1038207	Intact
Primates	Pan_troglodytes	0	24693	211654	1606623	151134	1546103	1385009	Intact
Primates	Papio_anubis	1	54119	218388	1598591	158555	1538758	1370318	Intact
Rodentia	Perognathus_longimembris	0	9315	139146	801590	98199	760643	655376	Intact
Rodentia	Peromyscus_eremicus	4	12824	162504	988412	120707	946615	816623	Intact
Rodentia	Peromyscus_leucopus	0	12886	164195	960756	125484	922045	787781	Intact
Rodentia	Peromyscus_maniculatus	51	32755	165765	963182	124436	921853	788556	Intact
Artiodactyla	Phacochoerus_africanus	0	15749	197719	1328273	148093	1278647	1122547	Intact
Artiodactyla	Phocoena_phocoena	0	13555	184597	1504515	137063	1456981	1312079	Intact
Artiodactyla	Phocoena_sinus	1	13531	184792	1495140	137045	1447393	1302534	Intact
Chiroptera	Phyllostomus_discolor	0	12399	170030	925079	124875	879924	745842	Intact
Primates	Piliocolobus_tephrosceles	114	56073	211715	5190323	151603	5381244	5536886	Intact
Squamata	Podarcis_muralis	3	22514	178803	912171	51301	784669	716494	Loss
Squamata	Podarcis_raffonei	0	22076	191563	849424	57177	715038	639633	Loss
Primates	Pongo_abelii	0	24736	211937	1628091	150896	1567050	1404097	Intact
Primates	Pongo_pygmaeus	0	25536	213121	1631589	151240	1569708	1408549	Intact
Carnivora	Prionailurus_bengalensis	0	11147	175033	1243130	132020	1200117	1051804	Intact
Artiodactyla	Pseudorca_crassidens	0	13793	185368	1416076	137452	1368160	1222836	Intact
Rodentia	Rattus_norvegicus	0	13011	164757	998871	122526	956640	825361	Intact
Squamata	Rhineura_floridana	1	23719	176857	1077953	43843	944939	873652	Loss
Chiroptera	Rhinolophus_ferrumequinum	0	12788	186527	1019120	139433	972026	823312	Intact
Primates	Rhinopithecus_roxellana	1	24443	215298	1642477	151465	1578644	1417263	Intact
Chiroptera	Saccopteryx_bilineata	0	9681	179816	1013853	133081	967118	825439	Intact
Chiroptera	Saccopteryx_leptura	1	12203	182502	1032039	135449	984986	840912	Intact
Dasyuromorphia	Sarcophilus_harrisii	0	53922	322729	1690350	201763	1569384	1344146	Intact
Rodentia	Sciurus_carolinensis	0	10065	154943	1092298	115435	1052790	928525	Intact
Eulipotyphla	Sorex_araneus	3	11840	195006	1097278	149049	1051321	893775	Intact
Squamata	Sphaerodactylus_townsendi	0	10519	207689	1186876	65534	1044721	938816	Loss
Eulipotyphla	Suncus_etruscus	0	12233	230542	1223561	182992	1176011	984330	Intact
Carnivora	Suricata_suricatta	46	37034	178384	1179317	134577	1135510	991808	Intact
Artiodactyla	Sus_scrofa	0	12441	196828	1321139	147569	1271880	1115482	Intact
Monotremata	Tachyglossus_aculeatus	0	10225	65373	94734	31093	60454	15277	Intact
Squamata	Thamnophis_elegans	1	23021	162450	927458	25549	790557	738186	Loss
Primates	Theropithecus_gelada	14	24656	210248	1600777	149938	1540467	1380627	Intact
Diprotodontia	Trichosurus_vulpecula	3	71379	336137	1773332	195998	1633193	1405541	Intact
Artiodactyla	Tursiops_truncatus	0	13577	184899	1397218	137200	1349519	1204486	Intact
Carnivora	Ursus_arctos	0	12309	177517	1218213	132379	1173075	1032173	Intact
Carnivora	Vulpes_lagopus	0	12377	182676	1257161	137956	1212441	1065836	Intact
Carnivora	Zalophus_californianus	0	10697	175183	1305982	130777	1261576	1121280	Intact
Squamata	Zootoca_vivipara	1	22952	174004	805274	54386	685656	609938	Loss
